編號,縣市,所在轄區,X坐標,Y坐標,公園名稱,里別,面積公頃,類別,座落位置,管理單位,使用分區,附註,使用告示牌1,搖搖椅,搖搖樂,攀岩牆,旋轉地球,鐵馬搖椅,雙座潛艇滑軌,天梯爬梯,鏡子護欄,泡泡窗,方向盤,螺旋滑梯,海底峽谷爬梯,彈力蹺蹺板,蹺蹺板,攀爬梯網狀爬架,盪鞦韆,溜滑梯,吊橋,親子木樁,沙坑,大型兒童遊具,中型兒童遊具,小型兒童遊具,轉轉拼圖,其他遊樂設施,使用告示牌2,單槓引體向上,雙槓,高低槓,平行槓平行桿,三人扭腰器長,三人扭腰器圓轉腰器,平步機,伸腰伸臂架腰腹訓練器,壓腿器,太空漫步機雙人漫步機,肩關節康復器大轉輪,腰背按摩器,上肢牽引器,腹肌架腹肌運動,太極揉推器,平衡木,撐體向上,跳躍運動,仰臥舉腿,上下階運動,左右側跳,伏地挺身,俯前坐,腿筋伸展,衝浪板雙人浪板,吊環,雙向爬梯,天梯雲梯,滑輪吊環,滾背伸展,仰臥起坐,垂直爬梯,划船器,其他體健設施,石椅,靠背石椅,木椅,靠背木椅,鋁椅,靠背鋁椅,塑鋼椅,靠背塑鋼椅,白鐵椅,靠背白鐵椅,白鐵管椅,靠背白鐵管椅,玻璃椅,其他休憩設施,對奕石桌椅1:2,對奕石桌椅1:4,熄菸筒,石桌椅1:4,野餐桌椅,其他,木製涼亭,涼亭,瞭望台,花架,景觀壁燈,燈箱,高燈,矮燈,地底燈,橋樑,水龍頭1,電源開關箱,身障斜坡,身障扶手,P型身障扶手,C101,舞台,籃球場,網球場,羽球場,溜冰場,排球場,舉重館,槌球場,客家文化館,寵物新樂園沙坑,噴水池,管理單位說明,違規罰鍰,使用注意事項,公布欄,好望角,自行車路線圖,指示標誌,健康步道,垃圾桶1,腳踏車架,腳踏車停車位,機車停車位,汽車停車位,殘障停車位,遊覽車停車位,擋車阻,公廁,移動式廁間,便器蹲式1,便器坐式1,沖水器腳踏式1,沖水器水箱型1,垃圾桶2,門1,標誌1,XA8身障扶手,身障間洗手台2,小便區2,小便斗2,噴水器按押式2,噴水器感應式2,XB4身障扶手,煙蒂盒2,洗手台區2,鏡1,水槽1,水龍頭2,給皂盒1,衛生紙盒1,垃圾桶3,XC7身障扶手,便器蹲式2,便器坐式2,沖水器腳踏式2,沖水器水箱型2,垃圾桶4,門2,標誌2,YA8身障扶手,身障間洗手台1,小便區1,小便斗1,噴水器按押式1,噴水器感應式1,YB4身障扶手,煙蒂盒1,洗手台區1,鏡2,水槽2,水龍頭3,給皂盒2,衛生紙盒2,垃圾桶5,YC7身障扶手,門3,窗,照明燈,空調抽風機,洗腳池,台電電箱數量,台電電箱面積m2,中華電信設備箱數量,中華電信設備箱面積m2,欣南瓦斯設備箱數量,欣南瓦斯設備箱面積m2,第四台業者設備箱數量,第四台業者設備箱面積m2,C195,C196,C197,C198,C199,公園全景
74,臺南市,安平區,165567.87,2543742.29,怡平公園,怡平里,0.8,鄰里公園,平通路&永華六街口,安平區公所,鄰里,,1,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,4,,,10,,5,,,,,,,,,,1,,,,,,,,,,,13,,,,2,1,,,,,,,,,,,,1,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,,,,,,,,,,1
75,臺南市,安平區,166352.02,2542896.25,永華公園,文平里,0.37,鄰里公園,永華二街,安平區公所,鄰里,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,1,,,,,,,,1,,,4,,,,,3,,,,,,,,,,2,,,,,1,,,,,,14,,,,,1,,,,,,1,,,,,,,,,,1,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,1
76,臺南市,安平區,165543.6,2542815.27,石頭公園,國平里,0.83,鄰里公園,建平一街,安平區公所,鄰里,,,3,3,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,12,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,臺南市,安平區,164688.81,2543166.39,育平公園,育平里,0.61,鄰里公園,健康三街,安平區公所,鄰里,,,,3,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,4,,,6,,,,,,,,,,,,,,,3,,,,,,,,15,8,,,7,1,,,,,,,,,,,,,,,,1,,2,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,臺南市,安平區,165512.65,2543294.08,崇仁公園,國平里,0.74,鄰里公園,建平七街409號,安平區公所,鄰里,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,7,,,,,,,,,,,,,,,,1,,,,,,,,,13,,,,,1,5,1,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
79,臺南市,安平區,163843.82,2541927.55,漁光公園,漁光里,0.3853,鄰里公園,漁光路89巷39-1號,安平區公所,鄰里,,,2,3,,,,,,,,,,,1,,,2,,,,,,1,,,,,,,2,2,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,2,,,1,,,,1,7,,,,,1,,,,1,,1,,,,,,,,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
80,臺南市,安平區,164459.87,2544628.64,石門公園,石門里,0.116,鄰里公園,安北路103巷7弄,安平區公所,鄰里,,,1,4,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,2,,,,,,,,,4,,,,2,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
81,臺南市,安平區,164704.84,2544637.1,石門體育公園,石門里,0.2026,鄰里公園,安北路40巷東邊(臨一期綠帶),安平區公所,鄰里,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,2,,,,,,,,,8,,,,,1,,,4,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
82,臺南市,安平區,166464.36,2543942.38,建平公園,建平里,0.87,鄰里公園,府前四街&府前三街,安平區公所,鄰里,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,,1,,,,,1,,,,,,,,,,,,,,1,1,1,,,1,,,10,9,,,,,,,,,,,,,,2,,,,,,,,,28,5,,,4,1,2,,,,1,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18.62,,,,,,,,,,,,1
83,臺南市,安平區,164742.6,2544406.76,劍獅公園,港仔里,0.2,鄰里公園,安平路與安北路交叉口,安平區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
84,臺南市,安平區,164048.21,2544695,舊聚落歷史公園,海頭里,0.05,鄰里公園,古堡街與效忠街交叉口,安平區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
85,臺南市,南區,167584.81,2541891.09,大成公園(公兒4),田寮里,0.1119,鄰里公園,大成路二段42巷56號,南區區公所,鄰里,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,6,,4,,,,,,,,,,,,,,,,2,,,,,,,,6,,,,2,1,,,1,,,1,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
86,臺南市,南區,169157.91,2541591.75,大林二公園(公3),大林里,1,區域公園,大同路482巷底,公園管理一科,大型,,,3,5,,,,,,,,,,,,,,2,,,,,,,2,,3,1,,1,1,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,12,,,,,,,,,,,,,1,,,,,,9,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
87,臺南市,南區,169358.67,2541453.9,大林公園(公兒13),大林里,0.33,鄰里公園,大同路二段482巷,南區區公所,鄰里,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,2,,,1,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,11,,,,2,1,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
88,臺南市,南區,166710.85,2542704,文南公園(公兒2),文南里,0.5,鄰里公園,永南三街23號,南區區公所,鄰里,,1,2,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,1,,,,2,,1,2,,1,,,,,,,,,,1,,,,,,,,,,5,,8,,,,,,,,,,,,,,2,3,,,,1,,,,,10,,,,8,1,,,4,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22.26,,,,,1,0.24,,,,,,1
89,臺南市,南區,166928.89,2543196.05,文華公園(公兒3),文華里,0.58,鄰里公園,永華路275號,南區區公所,鄰里,,,2,4,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,1,,2,1,,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,9,,,,,,,7,,,,,,,,,,2,,,,1,,,,,7,,,,2,,,,,,,1,,,,,,,,,,1,,,2,,,1,,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18.02,,,,,1,0.72,,,,,,1
90,臺南市,南區,166776.15,2541645.48,日新一號公園(公兒3),日新里,0.29,鄰里公園,利南街223號,南區區公所,鄰里,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,1,,,,,,,,3,,,,2,1,,,2,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
91,臺南市,南區,166924.71,2541640.68,日新二號公園(公兒2),日新里,0.0629,鄰里公園,金華路一段503巷,南區區公所,鄰里,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
92,臺南市,南區,167249.72,2543086.53,水萍塭公園(公7),廣州里,10.16,區域公園,永華路、金華路,公園管理一科,大型,,4,,,2,,,,,,,,,,1,,,1,,,,,1,,1,,,1,1,1,1,,,5,,2,1,8,2,,4,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,79,,44,22,,9,,,,21,,,,,,22,,1,,,1,8,,,,,85,,,,35,3,,,13,,,,,,,,,,,1,,1,4,15,1,,1,6,,7,,,,,,,76,1,,9,3,,12,12,12,8,3,,1,8,8,,2,,,9,9,9,3,3,,,17,3,,20,20,20,21,21,,,,,,,,,9,9,9,3,3,,,,,,,,1,3,,,,,,,,,,,,1
93,臺南市,南區,167354.86,2541863.23,田寮育樂公園(公兒1),田寮里,0.2606,鄰里公園,新興路265巷48號前,南區區公所,鄰里,,2,,4,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,1,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,1,,,,,5,,,,3,,,,,,,,,,,,,,,,,1,3,,,,,,,2,,,11,23,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
94,臺南市,南區,168190.528,2542162.786,南區水交社公61,明德里,1.29,,水交社路,台南市政府工務局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
95,臺南市,南區,167318.42,2542116.26,再興里一號公園(綠3),再興里,0.21,鄰里公園,三官路46號,南區區公所,鄰里,,1,2,6,,,,,,,,,,,1,,,1,,,,,,,1,,,1,,,1,,,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,1,,,,1,,,,,6,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
96,臺南市,南區,167102.52,2542161.63,再興里二號公園(綠4),再興里,0.15,鄰里公園,三官路222巷,南區區公所,鄰里,,,2,3,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,3,,1,,,,1,,,,,4,,,,,,,,,,,,,2,,,,,,,,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
97,臺南市,南區,167225.51,2542356.3,再興里三號公園(綠2),再興里,0.06,鄰里公園,新慶街10巷17號,南區區公所,鄰里,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
98,臺南市,南區,166389.6,2541910.42,明和公園(公20),國宅里,3.43,區域公園,中華西路、新興路口,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,1,4,,,,,,2,,,,,,,1,1,1,1,1,1,1,,1,1,,,,,,1,,,,6,,15,,,15,,,,,,,,,,2,,2,,,3,,,,,,20,18,,,,5,,,5,,,,,,,,,,,,,2,4,1,,,,,1,6,,,,,,,10,2,,1,1,,2,2,2,3,,,,3,3,,,,,2,2,2,2,2,1,,1,2,1,2,3,3,2,,,,,,,,,,2,2,2,2,2,1,,,,,,,3,10.712,,,,,,,,,,,,1
99,臺南市,南區,169199.46,2541652.32,花鄉公園(廣7),大林里,0.23,好望角,大林路111巷,南區區公所,鄰里,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,5,,,,,,,,,8,,,,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
100,臺南市,南區,166964.55,2542337.37,金華公園(公兒1),金華里,0.53,鄰里公園,健康路二段247號40號,南區區公所,鄰里,,2,2,,,,,,,,,,,,,,,1,,,,,1,,2,,,3,,,1,,,,,1,,2,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,1,,20,,18,,,,,,,,,,2,8,,,1,,,,,,7,,,,,,,,,,1,,,1,,,,,,,1,,2,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.72,,,,,,,,,,,,1
101,臺南市,南區,168343.75,2541935.68,南區-水交社綠S1,,0.01,鄰里公園,,南區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
102,臺南市,南區,166684.29,2540314.19,南華公園(新興國宅公兒9),南華里,0.219,鄰里公園,中華南路二段300巷30弄,南區區公所,鄰里,,,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.6,,,,,,,,,,,,1
103,臺南市,南區,166239.07,2542682.92,南樂公園(公11),文華里,0.152,鄰里公園,南樂街,南區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
104,臺南市,南區,167332.2,2540162.33,建南二號公園(兒1),建南里,0.1,鄰里公園,中華南路二段53巷33號,南區區公所,鄰里,,,1,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
105,臺南市,南區,167203.59,2540087.51,建南公園(公),建南里,0.65,鄰里公園,德興路230號,南區區公所,鄰里,,1,4,2,,,,,,,,,,,,,,2,,,,,1,,,,,2,,1,2,,2,2,,2,,3,1,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,15,,,,,,,,7,4,,,,,2,,,,,13,,,,11,2,,,,,,1,,,,,,,,,,1,,,1,,,4,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
106,臺南市,南區,167355.59,2540706.73,郡南公園(綠1),郡南里,0.25,鄰里公園,永安街262巷39號,南區區公所,鄰里,,1,2,3,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,1,,,,1,,,,,8,,,,,,,,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
107,臺南市,南區,169011.25,2540767.28,桶盤淺公園(公兒14),大恩里,0.75,鄰里公園,大同路二段752巷182號,南區區公所,鄰里,,1,2,4,,,,,,,,,,,1,,1,2,,,,,,,2,,4,1,,1,1,,1,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,11,,,,,,,,,,2,,1,,1,,1,,,13,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
108,臺南市,南區,165774.74,2538182.23,喜樹平安情社區公園(公兒1),喜北里,0.3292,鄰里公園,喜樹路206巷42弄,南區區公所,鄰里,,1,,4,,,,,,,,,,,1,,,1,,,,,,,1,,,1,,,1,,,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,,,2,,,,,,,,,8,,,,1,1,,,2,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
109,臺南市,南區,169207.8,2541888.38,新生公園(公英段公兒15),新生里,1.3734,區域公園,大林國宅後方,公園管理一科,大型,,1,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,3,,6,7,,,,,,,,,,,,,,,,,,,,,,,5,,,,8,2,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
110,臺南市,南區,166552.55,2541580.05,新興國宅-公兒11,光明里,0.1912,鄰里公園,新興路537巷1號對面,南區區公所,鄰里,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
111,臺南市,南區,166564.27,2541528.6,新興國宅-公兒12,光明里,0.1051,鄰里公園,新建路17巷13號,南區區公所,鄰里,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
112,臺南市,南區,166510.1,2541395.46,新興國宅-公兒13,光明里,0.0601,鄰里公園,新建路21巷,南區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
113,臺南市,南區,166523.16,2541271.79,新興國宅-公兒14,光明里,0.0608,鄰里公園,新建路27巷,南區區公所,鄰里,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
114,臺南市,南區,166506.55,2541105.66,新興國宅-公兒15,開南里,0.7196,鄰里公園,新建路37巷,南區區公所,鄰里,,1,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,1,,1,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,16,,16,4,,,,,,,,,,,,,,3,,,1,,,,,,8,,,,8,2,,,,,,2,,,,,,,,,,4,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.76,,,,,,,,,,,,1
115,臺南市,南區,166530.79,2541020.14,新興國宅-公兒16,開南里,0.0526,鄰里公園,新建路41巷,南區區公所,鄰里,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.76,,,,,,,,,,,,1
116,臺南市,南區,166398.54,2541284.78,新興國宅-公兒17,彰南里,0.096,鄰里公園,新建路16巷,南區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,2,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
117,臺南市,南區,166309.38,2541128.57,新興國宅-公兒19,彰南里,0.1912,鄰里公園,中華西路42巷,南區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,6,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
118,臺南市,南區,166367.57,2541045.3,新興國宅-公兒20,開南里,0.1578,鄰里公園,新建路28巷,南區區公所,鄰里,,,1,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,,,,5,,,,,,,,,,2,,,,2,,,,,4,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
