full_id,osm_id,osm_type,highway,lane_marki,junction,embankment,sidewalk_r,sidewalk_l,tunnel,turn_lanes,cycleway_b,source_nam,old_ref,local_ref,cycleway_r,cycleway_l,maxheight,maxspeed_t,old_name,motorroad,maxweight,motorcycle,motorcar,bicycle,alt_name,sidewalk,lanes,cycleway_1,foot,bridge,surface,name_zh,name_en,name,lit,ref_zh,ref_en,ref,oneway,maxspeed,layer,xcoord,ycoord
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.175547600000002,22.920827800000001
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.175488099999995,22.921082800000001
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.175421700000001,22.921452800000001
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.175386200000005,22.921759099999999
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.175371100000007,22.922554000000002
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.175433299999995,22.923143799999998
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.175567999999998,22.923759000000000
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.175879600000002,22.925221100000002
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176362900000001,22.927360799999999
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176376099999999,22.927419199999999
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176446200000001,22.927747300000000
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176557500000001,22.928266699999998
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176671799999994,22.929004100000000
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176699299999996,22.929564400000000
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176697500000003,22.930168900000002
w24452761,"24452761",way,primary,,,,,,,,,,,,,,,,,,,,,,,,"2",shared_lane,,yes,,????????????,Er Ren River Bridge,????????????,,???17???,Provincial Highway 17,"17",yes,"70","2",120.177274100000005,22.911850200000000
w24452776,"24452776",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,???????????????,Beimen Road Section 1,???????????????,,???20???,Provincial Highway 20,"20",yes,,,120.212097099999994,22.996834199999999
w24729832,"24729832",way,primary,,,,,,,,,,,,,,,,,,,,,,????????????,,,shared_lane,,,asphalt,,,???1???,yes,???1???,Provincial Highway 1,"1",yes,,,120.312570399999998,23.259759400000000
w24729832,"24729832",way,primary,,,,,,,,,,,,,,,,,,,,,,????????????,,,shared_lane,,,asphalt,,,???1???,yes,???1???,Provincial Highway 1,"1",yes,,,120.312526899999995,23.259221100000001
