full_id,osm_id,osm_type,highway,old_name,maxheight,bridge_nam,lit,name_ja,embankment,maxspeed_t,motorroad,tunnel,motorcycle,motor_vehi,horse,foot,bicycle,cycleway_r,sidewalk,surface,cycleway_b,junction,ref_en,layer,bridge,oneway,maxspeed,lanes,ref_zh,ref,name_zh,name_en,name,xcoord,ycoord
w100985527,"100985527",way,secondary,,,,,,,,,,,,,,,,,,,,"172","1",yes,yes,,,"172","172",???????????????,"Section 1, ZhangRong Road",???????????????,120.331301900000000,23.318745900000000
w100985527,"100985527",way,secondary,,,,,,,,,,,,,,,,,,,,"172","1",yes,yes,,,"172","172",???????????????,"Section 1, ZhangRong Road",???????????????,120.331706900000000,23.318482599999999
w100985527,"100985527",way,secondary,,,,,,,,,,,,,,,,,,,,"172","1",yes,yes,,,"172","172",???????????????,"Section 1, ZhangRong Road",???????????????,120.332133299999995,23.318210000000001
w102419268,"102419268",way,secondary,,,,,,,,,,,,,,,,,,,,,"0",,,,,,"173",,,,120.142213900000002,23.095760400000000
w102419268,"102419268",way,secondary,,,,,,,,,,,,,,,,,,,,,"0",,,,,,"173",,,,120.138821899999996,23.094934400000000
w102419268,"102419268",way,secondary,,,,,,,,,,,,,,,,,,,,,"0",,,,,,"173",,,,120.136284700000004,23.094316500000001
w102419268,"102419268",way,secondary,,,,,,,,,,,,,,,,,,,,,"0",,,,,,"173",,,,120.133450199999999,23.093624200000001
w102441006,"102441006",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.086478499999998,23.091168100000001
w102441006,"102441006",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.086310699999999,23.092294200000001
w102441006,"102441006",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.086205500000005,23.093048400000001
w102441006,"102441006",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.086169900000002,23.093461200000000
w102441006,"102441006",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.086142400000000,23.093847400000001
w102441006,"102441006",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.086132399999997,23.094286499999999
w102441006,"102441006",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.086132399999997,23.094778800000000
w102441007,"102441007",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.085476600000007,23.090837799999999
w102441007,"102441007",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.085517499999995,23.090593899999998
w102441007,"102441007",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.085558300000002,23.090214499999998
w102441007,"102441007",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.085610200000005,23.089801800000000
w102441007,"102441007",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.085685699999999,23.089435399999999
w102441007,"102441007",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.085735799999995,23.089270400000000
w102441010,"102441010",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.085436099999995,23.091804700000001
w102441010,"102441010",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.085434599999999,23.091556199999999
w102441010,"102441010",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.085453799999996,23.091076900000001
w102442656,"102442656",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.088170700000006,23.134708900000000
w102442656,"102442656",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.088034100000002,23.134016299999999
w102442656,"102442656",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.087812299999996,23.132414799999999
w102442656,"102442656",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.087650400000001,23.130948499999999
w102442656,"102442656",way,secondary,,,,,,,,,,,,,,,,,,,,173A,,,yes,,,173???,173???,,,,120.087648900000005,23.130916599999999
w102442657,"102442657",way,secondary,,,,,,,,,,,,,,,,,,,,173A,"2",viaduct,yes,,,173???,173???,,,????????????,120.087347100000002,23.115771700000000
w102442657,"102442657",way,secondary,,,,,,,,,,,,,,,,,,,,173A,"2",viaduct,yes,,,173???,173???,,,????????????,120.087455599999998,23.118994699999998
w102442657,"102442657",way,secondary,,,,,,,,,,,,,,,,,,,,173A,"2",viaduct,yes,,,173???,173???,,,????????????,120.087517899999995,23.121196000000001
w102442657,"102442657",way,secondary,,,,,,,,,,,,,,,,,,,,173A,"2",viaduct,yes,,,173???,173???,,,????????????,120.087571299999993,23.122930900000000
w102442657,"102442657",way,secondary,,,,,,,,,,,,,,,,,,,,173A,"2",viaduct,yes,,,173???,173???,,,????????????,120.087709200000006,23.125836000000000
w102442660,"102442660",way,secondary,,,,,,,,,,,,,,,,,,,,173A,"2",viaduct,yes,,,173???,173???,,,????????????,120.087466500000005,23.128248800000001
w102442660,"102442660",way,secondary,,,,,,,,,,,,,,,,,,,,173A,"2",viaduct,yes,,,173???,173???,,,????????????,120.087187999999998,23.122805899999999
