id,農業,森林,交通,水利,商業,純住宅,混合住宅,製造業,倉儲,宗教,殯葬,其他建築用地,學校,醫療,其他公共利用土地,遊憩,礦業,其他
97,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2331,0,0,2413,0,0,0,0,0,0,0,285,0,0,0,0,0,2027
143,5463,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,658
144,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,6381,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,563
146,0,0,493,2907,0,0,0,0,0,0,0,0,0,0,0,0,0,3656
147,0,0,3303,3548,0,0,0,0,0,0,0,0,0,0,0,0,0,205
148,1379,145,957,1901,0,0,0,0,0,982,0,0,0,0,0,1516,0,176
149,0,0,1791,134,0,0,0,0,0,3421,0,0,0,0,0,1710,0,0
150,0,0,0,223,0,0,0,0,0,0,0,0,879,0,0,5813,0,141
151,2183,0,0,1277,0,0,0,0,0,0,0,0,1967,0,0,196,0,1433
152,5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216
153,5252,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,1309
154,5348,0,0,197,0,0,0,0,0,28,0,0,0,0,0,0,0,1483
155,4894,0,0,185,0,490,0,0,0,0,0,0,0,0,0,0,0,1487
