"contentType","isImage","data__活動中心名稱","data__CountyCode","data__AreaCode","data__Village","data__StreetDoorPlate","data__經度","data__緯度","errorCode","id","message","success"
"","","鯤鯓里活動中心","67000","67000330","鯤鯓里","66巷7號","22.9595141","120.1714606","","","",""
"","","三舍社區活動中心","67000","67000200","三舍里","67號","23.0976924","120.2945362","","","",""
"","","小腳腿多功能活動中心","67000","67000040","篤農里","6鄰小腳腿226號-1","23.2867094","120.3709331","","","",""
"","","內角里活動中心","67000","67000030","內角里","6鄰內角84之18號","23.400607","120.437861","","","",""
"","","果毅後多功能活動中心","67000","67000040","神農里","6鄰果毅後284-5號","23.2613107","120.3579632","","","",""
"","","城內里活動中心","67000","67000150","後港里","6鄰城內16之3號","23.1746469","120.1329474","","","",""
"","","澄山里活動中心","67000","67000260","澄山里","77-2號","23.0200795","120.3954282","","","",""
"","","土溝里活動中心","67000","67000050","土溝里","7鄰土溝56-18號","23.3756686","120.3905324","","","",""
"","","永樂里活動中心","67000","67000140","永樂里","7鄰大塭寮59-35號","23.0940808","120.1776926","","","",""
"","","望明里活動中心","67000","67000230","望明里","7鄰望明76號","23.1061031","120.455903","","","",""
"","","詔安里中山堂","67000","67000030","詔豐里","7鄰詔安厝77號","23.392933","120.411852","","","",""
"","","關山里活動中心","67000","67000250","關山里","84-3號","23.1672655","120.5854674","","","",""
"","","山上里農民教育活動中心","67000","67000220","山上里","8鄰134-1號","23.101435","120.3594043","","","",""
"","","南洲里農民教育活動中心","67000","67000220","南洲里","8鄰197號","23.0958254","120.3478746","","","",""
"","","八翁里集會所","67000","67000040","八翁里","8鄰70-1號","23.2694095","120.2945362","","","",""
"","","永就社區活動中心","67000","67000200","永就里","94之3號","23.0642791","120.3003035","","","",""
"","","廣山里活動中心","67000","67000160","廣山里","97-6號","23.2200538","120.1213978","","","",""
"","","新莊里大庄活動中心","67000","67000220","新莊里","9鄰大庄32號","查無經緯度","查無經緯度","","","",""
"","","南都里活動中心","67000","67000330","南都里","9鄰中華南路二段247-2號","22.961445","120.187074","","","",""
"","","汴頭里中山堂","67000","67000030","汴頭里","9鄰內枋林22號","23.3678557","120.461686","","","",""
"","","竹門里活動中心","67000","67000030","竹門里","9鄰竹子門113-5號","23.3769445","120.4449593","","","",""
"","","東角里活動中心","67000","67000070","東角里","9鄰忠孝路44-1號","23.1839989","120.256533","","","",""
"","","新復里活動中心","67000","67000140","新復里","9鄰溪埔寮19-9號","23.08697","120.184727","","","",""
"","","義合里多功能活動中心","67000","67000150","義合里","9鄰義合72之2號","23.1035949","120.1387218","","","",""
"","","七甲龍湖聯合多功能活動中心","67000","67000090","七甲里","七甲街89巷2號","23.2206073","120.3452638","","","",""
"","","二重港活動中心","67000","67000170","文山里","二重港27號","23.2439344","120.1355158","","","",""
"","","三甲社區活動中心","67000","67000270","文賢里","三甲子11-17號","22.9326731","120.2368486","","","",""
"","","蔦松腳活動中心","67000","67000270","上崙里","上崙街459巷82號","22.9385802","120.2599266","","","",""
"","","歡雅里活動中心-下寮","67000","67000020","歡雅里","下寮13-1號","23.2771778","120.2417964","","","",""
"","","水秀里活動中心","67000","67000020","水秀里","土庫35-1號","23.3227041","120.2773919","","","",""
"","","土庫里活動中心","67000","67000270","土庫里","土庫三街39巷23弄11號","22.9888317","120.2604566","","","",""
"","","太子土庫聯合活動中心","67000","67000270","太子里","土庫路2號","22.9911719","120.2603824","","","",""
"","","大丘里活動中心","67000","67000090","大丘里","大丘園5號","23.2187098","120.4365315","","","",""
"","","明德里活動中心","67000","67000330","明德里","大成路1段61巷32號","22.975172","120.20254","","","",""
"","","大坑社區活動中心","67000","67000180","大坑里","大坑尾182號","23.012628","120.385707","","","",""
"","","八甲里活動中心","67000","67000280","八甲里","大明三街7號","22.9741935","120.2979582","","","",""
"","","五甲里活動中心","67000","67000290","五甲里","大富街86號","22.9519175","120.3279477","","","",""
"","","辜厝里活動中心","67000","67000280","辜厝里","大順三街42號","22.9641574","120.2920786","","","",""
"","","旭山里活動中心","67000","67000040","旭山里","山子腳9-1號","23.2806957","120.3550808","","","",""
"","","柳營聯合活動中心","67000","67000040","東昇里","中山西路二段19巷35號","23.2771668","120.3174397","","","",""
"","","許厝里活動中心","67000","67000280","許厝里","中山路一段437巷9號","22.965983","120.2993363","","","",""
"","","玉井、玉田活動中心","67000","67000230","玉井里","中正路7號","23.1218936","120.4593371","","","",""
"","","中社里活動中心","67000","67000090","中社里","中社351號","23.238943","120.325088","","","",""
"","","中洲里活動中心","67000","67000270","中洲里","中洲274號","22.9056447","120.2526809","","","",""
"","","安康里活動中心","67000","67000310","安康里","中華西街122巷62號","23.0514579","120.277578","","","",""
"","","中興里活動中心","67000","67000310","中興里","中興街40號","23.006591","120.240139","","","",""
"","","五興里活動中心","67000","67000010","五興里","五間厝114-1號","23.275487","120.272219","","","",""
"","","仁義里活動中心","67000","67000270","仁義里","仁義路130-2號","22.9683434","120.2558306","","","",""
"","","田寮里活動中心","67000","67000190","田寮里","六分寮168號之9","23.1541333","120.304806","","","",""
"","","六德里活動中心","67000","67000190","六德里","六分寮227-1號","23.151602","120.299703","","","",""
"","","南保里南興里活動中心","67000","67000280","南興里","文化街三段208號","22.9703663","120.2836055","","","",""
"","","牛庄社區活動中心","67000","67000190","牛庄里","牛庄138-2號","23.138238","120.319658","","","",""
"","","王行里活動中心","67000","67000310","王行里","王行路866巷29弄118號","23.0054047","120.2339679","","","",""
"","","溪心里活動中心","67000","67000350","溪心里","功安一街162號","23.0495978","120.1802038","","","",""
"","","北勢洲活動中心","67000","67000220","明和里","北勢洲51-1號","23.1147935","120.3345602","","","",""
"","","嘉昌里活動中心","67000","67000160","忠嘉里","北嘉98-5號","查無經緯度","查無經緯度","","","",""
"","","六甲里活動中心","67000","67000280","六甲里","民生十二街41號","22.9547108","120.278302","","","",""
"","","新化區聯合里活動中心","67000","67000180","太平里","民生路269號","23.0500798","120.3103958","","","",""
"","","東灣里活動中心","67000","67000310","東灣里","民族路291號","23.0054051","120.269078","","","",""
"","","埔園龍埔里活動中心","67000","67000310","埔園里","永大路三段618巷111號","23.038503","120.259865","","","",""
"","","西灣里活動中心","67000","67000310","西灣里","永華路201巷12號","23.0102718","120.2584932","","","",""
"","","三和里田寮活動中心","67000","67000020","三和里","田寮45號","23.277888","120.228523","","","",""
"","","平陽里活動中心","67000","67000220","平陽里","石仔崎48號","23.0860157","120.3752561","","","",""
"","","鳳凰里活動中心","67000","67000350","鳳凰里","安中路1段700巷1號","23.0440035","120.1941326","","","",""
"","","淵中里活動中心","67000","67000350","淵中里","安中路三段381號","23.0489683","120.1748415","","","",""
"","","塭南里活動中心","67000","67000350","塭南里","安昌街130號","23.0708473","120.2196093","","","",""
"","","全興里活動中心","67000","67000180","全興里","竹子腳73號","23.030906","120.292876","","","",""
"","","大甲二行聯合活動中心","67000","67000270","大甲里","行大街239號","22.915411","120.218454","","","",""
"","","胡厝里活動中心","67000","67000190","胡厝里","西衛32-2號","23.1342537","120.2596276","","","",""
"","","沙崙里活動中心","67000","67000280","沙崙里","沙崙269號","22.939129","120.311089","","","",""
"","","安順里活動中心","67000","67000350","安順里","育安街211號","23.0507823","120.2152286","","","",""
"","","姑爺里活動中心","67000","67000010","姑爺里","姑爺22-1號","23.26838","120.261354","","","",""
"","","育平里活動中心","67000","67000360","育平里","府平路376號","22.9871097","120.1670985","","","",""
"","","歸仁里活動中心","67000","67000280","歸仁里","忠孝北路221號","22.9709549","120.298694","","","",""
"","","一甲社區活動中心","67000","67000270","一甲里","忠義路256號","22.9765594","120.2548452","","","",""
"","","東勢里活動中心","67000","67000290","東勢里","旺萊路139巷12號","22.9538511","120.334588","","","",""
"","","東勢里民活動中心","67000","67000240","東勢里","東勢路160巷30號","23.178118","120.48639","","","",""
"","","昌隆里活動中心","67000","67000190","昌隆里","東勢寮186號之5後方","23.156245","120.3168641","","","",""
"","","廣蓮里中山堂","67000","67000030","廣蓮里","枋子林43之1號","23.389917","120.402766","","","",""
"","","竹圍里中山堂","67000","67000230","竹圍里","武成街155巷7號","23.1337231","120.478965","","","",""
"","","知義社區活動中心","67000","67000180","知義里","知母義171號","23.024023","120.314088","","","",""
"","","東和里活動中心","67000","67000350","東和里","長和路一段805號","23.0626716","120.2277858","","","",""
"","","西埔里活動中心","67000","67000280","西埔里","保大路二段166號","22.9971096","120.2876413","","","",""
"","","田厝社區活動中心","67000","67000270","文賢里","保安路二段481號","22.9220899","120.2381181","","","",""
"","","成功里活動中心","67000","67000270","成功里","保華路245號","22.9592923","120.2260941","","","",""
"","","六甲里活動中心","67000","67000090","六甲里","信義街238巷14弄17號","23.228996","120.3489279","","","",""
"","","菁豐里活動中心","67000","67000050","菁豐里","前菁寮74號","23.377619","120.344304","","","",""
"","","城東里活動中心","67000","67000350","城東里","城安路73號","23.0666432","120.1275845","","","",""
"","","城南里活動中心","67000","67000350","城南里","城西街一段61巷28弄98號","23.0603192","120.127133","","","",""
"","","二甲里活動中心","67000","67000090","二甲里","建工街266號","23.2279003","120.3460234","","","",""
"","","中埕里活動中心","67000","67000040","光福里","柳營360號","23.2761164","120.315316","","","",""
"","","人和里農民活動中心","67000","67000040","人和里","柳營路3段420巷1弄2號","23.2944986","120.3135467","","","",""
"","","豐榮里活動中心","67000","67000180","豐榮里","洋子164號","23.0338219","120.2982378","","","",""
"","","甲南里活動中心","67000","67000090","甲南里","珊瑚路17巷2號之1","23.2270627","120.3524907","","","",""
