"contentType","isImage","data__活動中心名稱","data__CountyCode","data__AreaCode","data__Village","data__StreetDoorPlate","data__經度","data__緯度","errorCode","id","message","success"
"","","五條港里活動中心","67000","67000370","五條港里","成功路343號3樓","23.0001473","120.1995791","","","",""
"","","小西門里活動中心","67000","67000370","小西門里","府緯街四巷6號","22.984497","120.199521","","","",""
"","","南廠里活動中心","67000","67000370","南廠里","郡西路35號2樓","22.989445","120.194075","","","",""
"","","中正里活動中心","67000","67000370","淺草里","國華街三段5號2樓、3樓","22.9935158","120.1973639","","","",""
"","","淺草里活動中心","67000","67000370","淺草里","環河街94號之4","22.995876","120.192395","","","",""
"","","城隍里活動中心","67000","67000370","城隍里","青年路226巷20號","22.9909461","120.2109234","","","",""
"","","兌悅里活動中心","67000","67000370","兌悅里","忠孝街93巷47號","23.000766","120.196031","","","",""
"","","協和里活動中心","67000","67000370","兌悅里","民族路三段258號3樓","23.0000492","120.1930753","","","",""
"","","開山里活動中心","67000","67000370","開山里","府前路一段31號","22.9886701","120.2108865","","","",""
"","","西賢里活動中心","67000","67000370","西賢里","民權路四段470號","22.9997757","120.1732043","","","",""
"","","南門里活動中心","67000","67000370","南門里","南寧街47-29號","22.9849805","120.2009221","","","",""
"","","光賢里活動中心","67000","67000370","光賢里","和善街98巷7號","23.0029145","120.189874","","","",""
"","","藥王里活動中心","67000","67000370","藥王里","民權路三段135號","22.997061","120.196105","","","",""
"","","西和里活動中心","67000","67000370","西和里","西和路17號","22.9995257","120.1877358","","","",""
"","","西和里協進活動中心","67000","67000370","西和里","民權路三段447巷1號","22.9986834","120.1875302","","","",""
"","","府前里活動中心","67000","67000370","府前里","尊王路53號","22.991495","120.1963452","","","",""
"","","南美里活動中心","67000","67000370","南美里","府前路一段260號","22.9899812","120.2003427","","","",""
"","","赤嵌里活動中心","67000","67000370","赤嵌里","觀亭街76號","22.997194","120.2058373","","","",""
"","","永華里活動中心","67000","67000370","永華里","開山路1號","22.9922404","120.2055998","","","",""
