,id,left,top,right,bottom,活動中心,郵局,公車站,火車站,加油站,停車場,腳踏車,寺廟,大賣場,服飾,便利商店,超市美妝,電子賣場,銀行,ATM,大學,高中,國小,國中,補習班,嫌惡設施_危險,嫌惡設施_殯葬,嫌惡設施_髒亂,食物,診所,醫院,禮品百貨,觀光景點,房屋稅數量,地段率總和,折舊年數總和,平均地段率,平均折舊年數,EPSG3857_X,EPSG3857_Y,距最近火車站距離,公園,土地單價,預測值
36,37,13373240.3256,2631536.2673,13373340.3256,2631436.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2631486.2673,7998.81303704091,0,,94.32213115692139
37,38,13373240.3256,2631436.2673,13373340.3256,2631336.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2631386.2673,8001.38003224664,0,,94.06484889984131
38,39,13373240.3256,2631336.2673,13373340.3256,2631236.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2631286.2673,8004.99395543969,0,,93.64313220977783
39,40,13373240.3256,2631236.2673,13373340.3256,2631136.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2631186.2673,8009.653408422,0,,93.03069686889648
40,41,13373240.3256,2631136.2673,13373340.3256,2631036.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2631086.2673,8015.35658674094,0,,92.66167736053467
41,42,13373240.3256,2631036.2673,13373340.3256,2630936.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2630986.2673,8022.1012832201,0,,92.76291847229004
42,43,13373240.3256,2630936.2673,13373340.3256,2630836.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2630886.2673,8029.88489225248,0,,92.65401363372803
43,44,13373240.3256,2630836.2673,13373340.3256,2630736.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2630786.2673,8038.70441484629,0,,93.05267906188965
44,45,13373240.3256,2630736.2673,13373340.3256,2630636.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2630686.2673,8048.55646438868,0,,93.51241111755371
45,46,13373240.3256,2630636.2673,13373340.3256,2630536.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2630586.2673,8059.437273113,0,,93.69887065887451
46,47,13373240.3256,2630536.2673,13373340.3256,2630436.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2630486.2673,8071.34269923569,0,,93.652663230896
47,48,13373240.3256,2630436.2673,13373340.3256,2630336.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2630386.2673,8084.26823473181,0,,93.60480690002441
48,49,13373240.3256,2630336.2673,13373340.3256,2630236.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2630286.2673,8098.20901371855,0,,93.47559547424316
49,50,13373240.3256,2630236.2673,13373340.3256,2630136.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2630186.2673,8113.15982140514,0,,93.36518096923828
50,51,13373240.3256,2630136.2673,13373340.3256,2630036.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2630086.2673,8129.11510358182,0,,93.32915115356445
51,52,13373240.3256,2630036.2673,13373340.3256,2629936.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2629986.2673,8146.06897660167,0,,93.3910779953003
52,53,13373240.3256,2629936.2673,13373340.3256,2629836.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2629886.2673,8164.01523781541,0,,93.40344524383545
53,54,13373240.3256,2629836.2673,13373340.3256,2629736.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2629786.2673,8182.94737642069,0,,93.393141746521
54,55,13373240.3256,2629736.2673,13373340.3256,2629636.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2629686.2673,8202.85858468239,0,,93.35534858703613
55,56,13373240.3256,2629636.2673,13373340.3256,2629536.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2629586.2673,8223.7417694849,0,,93.43617534637451
56,57,13373240.3256,2629536.2673,13373340.3256,2629436.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2629486.2673,8245.58956416172,0,,93.52060794830322
57,58,13373240.3256,2629436.2673,13373340.3256,2629336.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2629386.2673,8268.39434058544,0,,93.56223583221436
58,59,13373240.3256,2629336.2673,13373340.3256,2629236.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2629286.2673,8292.14822143835,0,,94.71274471282959
59,60,13373240.3256,2629236.2673,13373340.3256,2629136.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2629186.2673,8316.84309266703,0,,94.95169258117676
60,61,13373240.3256,2629136.2673,13373340.3256,2629036.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2629086.2673,8342.47061603018,0,,96.31956100463867
61,62,13373240.3256,2629036.2673,13373340.3256,2628936.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628986.2673,8369.0222417502,0,,96.50257301330566
62,63,13373240.3256,2628936.2673,13373340.3256,2628836.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628886.2673,8396.48922118738,0,,97.20440864562988
63,64,13373240.3256,2628836.2673,13373340.3256,2628736.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628786.2673,8424.86261952147,0,,99.51070022583008
64,65,13373240.3256,2628736.2673,13373340.3256,2628636.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628686.2673,8454.13332840686,0,,100.31662940979004
65,66,13373240.3256,2628636.2673,13373340.3256,2628536.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628586.2673,8484.29207855599,0,,99.45691299438477
66,67,13373240.3256,2628536.2673,13373340.3256,2628436.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628486.2673,8515.32945221405,0,,99.73614311218262
67,68,13373240.3256,2628436.2673,13373340.3256,2628336.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628386.2673,8547.23589552004,0,,97.96811103820801
68,69,13373240.3256,2628336.2673,13373340.3256,2628236.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628286.2673,8580.00173068984,0,,94.96679401397705
69,70,13373240.3256,2628236.2673,13373340.3256,2628136.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628186.2673,8613.6171680277,0,,92.72276878356934
70,71,13373240.3256,2628136.2673,13373340.3256,2628036.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2628086.2673,8648.07231771179,0,,92.13214778900146
71,72,13373240.3256,2628036.2673,13373340.3256,2627936.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627986.2673,8683.35720135807,0,,91.33323001861572
72,73,13373240.3256,2627936.2673,13373340.3256,2627836.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627886.2673,8719.46176331644,0,,90.70591735839844
73,74,13373240.3256,2627836.2673,13373340.3256,2627736.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627786.2673,8756.37588170577,0,,90.4712381362915
74,75,13373240.3256,2627736.2673,13373340.3256,2627636.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627686.2673,8794.08937913741,0,,90.47380828857422
75,76,13373240.3256,2627636.2673,13373340.3256,2627536.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627586.2673,8832.5920331567,0,,90.41595554351807
76,77,13373240.3256,2627536.2673,13373340.3256,2627436.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627486.2673,8871.87358634233,0,,90.23216819763184
77,78,13373240.3256,2627436.2673,13373340.3256,2627336.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627386.2673,8911.92375609397,0,,90.04478740692139
78,79,13373240.3256,2627336.2673,13373340.3256,2627236.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627286.2673,8952.73224406261,0,,89.85385513305664
79,80,13373240.3256,2627236.2673,13373340.3256,2627136.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627186.2673,8994.28874525076,0,,89.65942096710205
80,81,13373240.3256,2627136.2673,13373340.3256,2627036.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2627086.2673,9036.58295674594,0,,89.46154117584229
81,82,13373240.3256,2627036.2673,13373340.3256,2626936.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2626986.2673,9079.60458610872,0,,89.85564517974854
