Unnamed: 0,匯入時間,統計時間,銀行代號,分支機構代號,金融機構名稱,分支機構名稱,地址,lat,lng
1458,20211201,202110,7,6250,第一商業銀行,新化分行,台南市新化區中正路374號,23.0354801,120.3082884
1459,20211201,202110,7,6261,第一商業銀行,大灣分行,台南市永康區永大路二段5號,23.00106,120.25928799999998
1460,20211201,202110,7,6283,第一商業銀行,南科園區分行,台南市新市區南科三路15號,23.0985836,120.2834062
1461,20211201,202110,7,6294,第一商業銀行,歸仁分行,台南市歸仁區中山路二段55號,22.966841,120.29258
1462,20211201,202110,7,6308,第一商業銀行,永康分行,台南市永康區中正南路109號,23.02254,120.216563
1638,20211201,202110,8,6206,華南商業銀行,新營分行,台南市新營區新進路二段109號,23.3003908,120.3101763
1639,20211201,202110,8,6217,華南商業銀行,麻豆分行,台南市麻豆區中山路36號,23.183854,120.2473842
1640,20211201,202110,8,6228,華南商業銀行,永康分行,台南市永康區中華路800號,23.017973,120.227601
1641,20211201,202110,8,6402,華南商業銀行,台南分行,台南市中西區永福路二段154號,22.9946722,120.20172209999998
1642,20211201,202110,8,6424,華南商業銀行,東台南分行,台南市東區林森路二段90號,22.9876483,120.22339840000002
1643,20211201,202110,8,6435,華南商業銀行,西台南分行,台南市中西區康樂街156號,22.995159,120.1952185
1644,20211201,202110,8,6446,華南商業銀行,北台南分行,台南市北區成功路294號,22.9997152,120.2016701
1645,20211201,202110,8,6457,華南商業銀行,南都分行,台南市東區長榮路一段203號,22.984667,120.2179206
1646,20211201,202110,8,6468,華南商業銀行,安南分行,台南市安南區安和路四段467號,23.060344,120.2184925
1647,20211201,202110,8,6479,華南商業銀行,仁德分行,台南市仁德區中山路511號,22.9712547,120.2540824
1648,20211201,202110,8,6480,華南商業銀行,新市分行,台南市新市區中正路232之1號,23.0760734,120.2918314
1649,20211201,202110,8,6815,華南商業銀行,金華分行,台南市南區金華路二段172號,22.9797763,120.1914926
1802,20211201,202110,9,6235,彰化商業銀行,新營分行,台南市新營區復興路150號,23.3032774,120.3080008
1803,20211201,202110,9,6242,彰化商業銀行,永康分行,台南市永康區中正南路839號,23.0410801,120.236606
1804,20211201,202110,9,6266,彰化商業銀行,歸仁分行,台南市歸仁區中山路2段218號,22.9675054,120.2887453
1805,20211201,202110,9,6402,彰化商業銀行,台南分行,台南市中西區中正路88號,22.9925195,120.2005174
1806,20211201,202110,9,6419,彰化商業銀行,延平分行,台南市中西區民權路二段151號,22.994863100000003,120.20320259999998
1807,20211201,202110,9,6426,彰化商業銀行,西台南分行,台南市中西區民族路三段94號,22.9984497,120.19748020000002
1808,20211201,202110,9,6433,彰化商業銀行,東台南分行,台南市中西區北門路一段95之1號,22.99137,120.2114685
1809,20211201,202110,9,6440,彰化商業銀行,南台南分行,台南市南區西門路一段655號,22.9861522,120.1974013
1810,20211201,202110,9,6457,彰化商業銀行,安南分行,台南市安南區安和路4段330號,23.0577697,120.2187317
1846,20211201,202110,9,9561,彰化商業銀行,北台南分行,台南市北區西門路四段367號,23.0161919,120.2103651
1863,20211201,202110,9,9849,彰化商業銀行,中華路分行,台南市永康區小東路473號,22.9988631,120.235032
1870,20211201,202110,11,107,上海商業儲蓄銀行,台南分行,台南市南區金華路二段305號,22.984794,120.191573
1895,20211201,202110,11,370,上海商業儲蓄銀行,東台南分行,台南市中西區民族路二段66號,22.994601100000004,120.2102037
1896,20211201,202110,11,381,上海商業儲蓄銀行,永康分行,台南市永康區小東路689號,22.9988051,120.239753
1960,20211201,202110,16,2254,高雄銀行,台南分行,台南市安平區慶平路191號,22.9967589,120.1788506
1972,20211201,202110,16,2405,高雄銀行,成大分行,台南市北區長榮路四段163號,23.006182,120.2216602
1979,20211201,202110,17,66,兆豐國際商業銀行,府城分行,台南市中西區中山路90號,22.9941701,120.20812
2021,20211201,202110,17,505,兆豐國際商業銀行,永康分行,台南市永康區中山路180號,23.0305717,120.256186
2035,20211201,202110,17,653,兆豐國際商業銀行,東台南分行,台南市東區長榮路一段225號,22.9856382,120.2183089
2065,20211201,202110,17,2130,兆豐國際商業銀行,台南分行,台南市中西區忠義路二段14號,22.9911929,120.2027239
2085,20211201,202110,17,2428,兆豐國際商業銀行,台南科學園區分行,台南市新市區南科三路13號,23.0986799,120.28307990000002
2092,20211201,202110,18,104,全國農業金庫,臺南分行,台南市北區公園北路141號,23.0044824,120.2101075
2100,20211201,202110,21,63,花旗（台灣）商業銀行,台南分行,台南市東區崇明路371號,22.9752188,120.2225053
2109,20211201,202110,21,166,花旗（台灣）商業銀行,永福分行,台南市中西區永福路二段83號,22.992991,120.2009072
2253,20211201,202110,50,6904,臺灣中小企業銀行,新營分行,台南市新營區中山路216號,23.3035279,120.315065
2254,20211201,202110,50,6915,臺灣中小企業銀行,開元分行,台南市永康區中華里中華路12號,23.0001457,120.235167
2255,20211201,202110,50,7004,臺灣中小企業銀行,永康分行,台南市永康區中正南路79號,23.021614000000003,120.21604
2256,20211201,202110,50,7015,臺灣中小企業銀行,學甲分行,台南市學甲區中山路87號,23.234323,120.181632
2257,20211201,202110,50,7026,臺灣中小企業銀行,善化分行,台南市善化區中山路352號,23.1322919,120.2934268
2258,20211201,202110,50,7037,臺灣中小企業銀行,永大分行,台南市永康區永大路2段1532號,23.0249135,120.26104479999998
2259,20211201,202110,50,7107,臺灣中小企業銀行,台南分行,台南市中西區中正路185號,22.9926123,120.1980801
2260,20211201,202110,50,7118,臺灣中小企業銀行,仁德分行,台南市仁德區仁義村中山路339號,22.9706739,120.258757
2261,20211201,202110,50,7200,臺灣中小企業銀行,成功分行,台南市中西區公園路25號,22.9939967,120.2051078
2262,20211201,202110,50,7211,臺灣中小企業銀行,東台南分行,台南市東區中華東路二段75號,22.9865235,120.2335503
2263,20211201,202110,50,7303,臺灣中小企業銀行,安平分行,台南市南區中華西路一段67號,22.9740366,120.1837467
2322,20211201,202110,52,775,渣打國際商業銀行,台南分行,台南市南區金華路二段429號,22.9875041,120.191819
2324,20211201,202110,52,812,渣打國際商業銀行,東寧分行,台南市東區東興路88號,22.9917924,120.2293142
2336,20211201,202110,52,1071,渣打國際商業銀行,東台南分行,台南市中西區民族路二段107號,22.9945978,120.2087977
2412,20211201,202110,53,916,台中商業銀行,永康分行,台南市永康區中華路760號,23.0171108,120.2284586
2425,20211201,202110,53,1072,台中商業銀行,台南分行,台南市東區崇學路138號,22.9809333,120.2245229
2429,20211201,202110,54,10,京城商業銀行,營業部,台南市中西區西門路一段506號,22.9845421,120.197943
2430,20211201,202110,54,32,京城商業銀行,台南分行,台南市中西區忠義路二段69號,22.9923173,120.2027135
