Unnamed: 0,匯入時間,縣市,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
18266,20211201,台南市,永康區,土地,,202.0,都市：其他:道路用地,,,1100911,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3444100.0,17050.0,,0.0,0.0,本案買賣移轉之印花稅、登記規費、代辦代書費皆由買方負擔。包含公共設施保留地用地；,RPVPMLOJIIGGFKD58DA,0.0,0.0,0.0,無
18267,20211201,台南市,永康區,土地,,271.47,都市：其他:廣場(兼供道路使用),,,1100813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10921782.0,40232.0,,0.0,0.0,包含公共設施保留地用地；,RPORMLKMRHGGFKD78DA,0.0,0.0,0.0,無
18268,20211201,台南市,永康區,房地(土地+建物)+車位,,4.29,都市：其他:住宅區,,,1100701,土地1建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,811215.0,204.42,0,0,0,無,有,6580000.0,32189.0,坡道平面,16.68,0.0,部分坐落仁愛之家之地,RPQNMLOJIIGGFKD87DA,136.34,0.0,0.0,有
18269,20211201,台南市,新營區,房地(土地+建物),,108.78,都市：其他:住宅區,,,1100910,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100713.0,238.73,4,2,5,有,無,13990000.0,58602.0,,0.0,0.0,,RPPNMLQJIIGGFDD37EA,219.29,19.44,0.0,無
18270,20211201,台南市,後壁區,土地,,8.36,,鄉村區,乙種建築用地,1100928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40454.0,4839.0,,0.0,0.0,,RPRNMLQJIIGGFED67EA,0.0,0.0,0.0,無
18271,20211201,台南市,北區,房地(土地+建物),,50.0,都市：其他:住宅區,,,1100915,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,620501.0,69.69,3,2,2,有,無,3200000.0,45918.0,,0.0,0.0,,RPTNMLPJIIGGFAD37EA,69.69,0.0,0.0,無
18272,20211201,台南市,中西區,房地(土地+建物)+車位,,59.87,都市：其他:住宅區,,,1100913,土地1建物1車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,851123.0,118.69,3,2,2,有,無,6500000.0,54765.0,一樓平面,0.0,0.0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLQJIIGGFAD77EA,92.06,12.08,0.0,無
18273,20211201,台南市,永康區,土地,,487.25,都市：其他:道路用地,,,1100819,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15086424.0,30962.0,,0.0,0.0,包含公共設施保留地用地；,RPXPMLPJIIGGFKD98EA,0.0,0.0,0.0,無
18274,20211201,台南市,安定區,土地,,1273.0,,特定農業區,農牧用地,1100913,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9738450.0,7650.0,,0.0,0.0,,RPOPMLQJIIGGFHD87EA,0.0,0.0,0.0,無
18275,20211201,台南市,新化區,土地,,3000.0,,特定農業區,農牧用地,1100816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000000.0,8333.0,,0.0,0.0,,RPPPMLRJIIGGFHD08EA,0.0,0.0,0.0,無
