Unnamed: 0,匯入時間,統計時間,商家名稱,縣市,門市,地址,lat,lng
4834,20211201,202110,7_11,台南市,鹽行,台南市永康區鹽洲里鹽洲二街83號,23.04309,120.23469
4835,20211201,202110,7_11,台南市,鹽信,台南市永康區正南一街148號,23.02555,120.226638
4836,20211201,202110,7_11,台南市,鑫永康,台南市永康區中華路617-1號,23.014493,120.229939
4837,20211201,202110,7_11,台南市,鑫歐洲,台南市永康區埔園街339號,23.032847,120.251344
4838,20211201,202110,7_11,台南市,灣中,台南市永康區大灣路62號,23.012069,120.270806
4839,20211201,202110,7_11,台南市,大欣,台南市北區和緯路五段76號,23.006116,120.184257
4840,20211201,202110,7_11,台南市,小北,台南市北區西門路四段455號,23.017899,120.211785
4841,20211201,202110,7_11,台南市,丹比,台南市北區六甲里西門路四段332號,23.013624,120.20962
4842,20211201,202110,7_11,台南市,公平,台南市北區公園路694號,23.008531,120.210245
4843,20211201,202110,7_11,台南市,公園,台南市北區公園路1072-1號2號3號,23.01848,120.215918
4844,20211201,202110,7_11,台南市,文成,台南市北區文元里文成路775號,23.012132,120.194936
4845,20211201,202110,7_11,台南市,文賢,台南市北區文賢路1116號,23.016253,120.193617
4846,20211201,202110,7_11,台南市,北安,台南市北區公園路599-11號,23.014608,120.212799
4847,20211201,202110,7_11,台南市,北育,台南市北區成德里北安路一段189號,23.018,120.207979
4848,20211201,202110,7_11,台南市,北園,"台南市北區北園街6號之6, 1、2樓",23.010328,120.22334
4849,20211201,202110,7_11,台南市,立人,台南市北區和順里西門路三段81號,23.002412,120.203189
4850,20211201,202110,7_11,台南市,成大,台南市北區勝利路138號B1樓,23.001835,120.220058
4851,20211201,202110,7_11,台南市,成醫,台南市北區小東路35號(成大醫院門診一樓),23.001718,120.217767
4852,20211201,202110,7_11,台南市,西門,台南市北區西門路四段132號,23.008812,120.207604
4853,20211201,202110,7_11,台南市,育德,台南市北區民德路87號,23.005437,120.2026
4854,20211201,202110,7_11,台南市,和緯,台南市北區成功里和緯路二段252號,23.012312,120.206329
4855,20211201,202110,7_11,台南市,東都,台南市北區成功路140號,22.998629,120.204669
4856,20211201,202110,7_11,台南市,東森,台南市北區林森路三段76號78號,23.00295,120.225016
4857,20211201,202110,7_11,台南市,長源,台南市北區長榮路四段181號,23.006626,120.221373
4858,20211201,202110,7_11,台南市,青青,台南市北區和緯路五段278號1樓,23.005271,120.180165
4859,20211201,202110,7_11,台南市,修齊,台南市北區成功路54號,22.99827678149089,120.207559523728
4860,20211201,202110,7_11,台南市,海裕,台南市北區雙安里海安路三段219巷5號1樓,23.006455,120.19959
4861,20211201,202110,7_11,台南市,常勝,台南市北區長榮里長勝路1號,23.009298,120.22045
4862,20211201,202110,7_11,台南市,康健,台南市北區北門路三段49號,23.014441,120.217186
4863,20211201,202110,7_11,台南市,康榮,台南市北區實踐里北門路三段2號,23.013038,120.217204
4864,20211201,202110,7_11,台南市,湖美,台南市北區大豐里27鄰中華北路一段143號,23.009857,120.185224
4865,20211201,202110,7_11,台南市,華園,台南市北區北門里公園南路71號,23.000371,120.210951
4866,20211201,202110,7_11,台南市,新大港,台南市北區大和里大港街140號1樓2樓,23.013516,120.190006
4867,20211201,202110,7_11,台南市,新海成,台南市北區海安路三段2號1樓,23.000647,120.198931
4868,20211201,202110,7_11,台南市,聖賢,台南市北區大豐里文賢路315號,23.00679,120.19349
4869,20211201,202110,7_11,台南市,道成,台南市北區北門路二段500號,23.009484,120.215356
4870,20211201,202110,7_11,台南市,煒達,台南市北區育德路491號1.2樓,23.015115,120.206571
4871,20211201,202110,7_11,台南市,鈺勝,台南市北區小東路307巷75號77號1樓,23.00066179036829,120.230667538103
4872,20211201,202110,7_11,台南市,德緯,台南市北區成德里育德二路20鄰308號,23.014208,120.203629
4873,20211201,202110,7_11,台南市,鄭子寮,台南市北區成德里38鄰北成路442號,23.019016,120.201201
4874,20211201,202110,7_11,台南市,龍成,台南市北區成功路2號,22.9978517800987,120.211197526029
4875,20211201,202110,7_11,台南市,豐盛,台南市北區勝利路192號194號,23.003983,120.218913
4876,20211201,202110,7_11,台南市,寶園,台南市北區元寶里北園街78號78-1號78-2號78-3號1樓,23.012305,120.223075
