Unnamed: 0,匯入時間,統計時間,縣市ID,縣市名稱,鄉鎮市區ID,鄉鎮市區名稱,CODE3,用水度數
65436,20210301,201907,67000,臺南市,67000360,安平區,A6700036004,32634.71
65437,20210301,201907,67000,臺南市,67000360,安平區,A6700036005,19831.32
65438,20210301,201907,67000,臺南市,67000360,安平區,A6700036006,40260.11
65439,20210301,201907,67000,臺南市,67000360,安平區,A6700036007,26163.11
65440,20210301,201907,67000,臺南市,67000360,安平區,A6700036008,27729.41
65441,20210301,201907,67000,臺南市,67000360,安平區,A6700036009,28395.87
65442,20210301,201907,67000,臺南市,67000360,安平區,A6700036010,30071.27
65443,20210301,201907,67000,臺南市,67000360,安平區,A6700036011,23566.57
65444,20210301,201907,67000,臺南市,67000360,安平區,A6700036012,49372.76
65445,20210301,201907,67000,臺南市,67000360,安平區,A6700036013,25451.44
65446,20210301,201907,67000,臺南市,67000360,安平區,A6700036014,26144.95
65447,20210301,201907,67000,臺南市,67000360,安平區,A6700036015,33233.24
65448,20210301,201907,67000,臺南市,67000360,安平區,A6700036016,31686.77
65449,20210301,201907,67000,臺南市,67000360,安平區,A6700036017,24868.67
65450,20210301,201907,67000,臺南市,67000360,安平區,A6700036018,45710.8
65451,20210301,201907,67000,臺南市,67000360,安平區,A6700036019,27742.36
65452,20210301,201907,67000,臺南市,67000360,安平區,A6700036020,31401.73
65453,20210301,201907,67000,臺南市,67000360,安平區,A6700036021,37371.25
65454,20210301,201907,67000,臺南市,67000360,安平區,A6700036022,27879.57
65455,20210301,201907,67000,臺南市,67000360,安平區,A6700036023,12738.01
65456,20210301,201907,67000,臺南市,67000370,中西區,A6700037001,
65457,20210301,201907,67000,臺南市,67000370,中西區,A6700037002,21782.89
65458,20210301,201907,67000,臺南市,67000370,中西區,A6700037003,52927.93
65459,20210301,201907,67000,臺南市,67000370,中西區,A6700037004,22001.74
65460,20210301,201907,67000,臺南市,67000370,中西區,A6700037005,21185.31
65461,20210301,201907,67000,臺南市,67000370,中西區,A6700037006,23500.04
65462,20210301,201907,67000,臺南市,67000370,中西區,A6700037007,24414.34
65463,20210301,201907,67000,臺南市,67000370,中西區,A6700037008,21275.11
65464,20210301,201907,67000,臺南市,67000370,中西區,A6700037009,23267.83
65465,20210301,201907,67000,臺南市,67000370,中西區,A6700037010,34656.09
65466,20210301,201907,67000,臺南市,67000370,中西區,A6700037011,35778.76
65467,20210301,201907,67000,臺南市,67000370,中西區,A6700037012,32232.32
65468,20210301,201907,67000,臺南市,67000370,中西區,A6700037013,69198.1
65469,20210301,201907,67000,臺南市,67000370,中西區,A6700037014,55725.39
65470,20210301,201907,67000,臺南市,67000370,中西區,A6700037015,45948.13
65471,20210301,201907,67000,臺南市,67000370,中西區,A6700037016,35361.1
65472,20210301,201907,67000,臺南市,67000370,中西區,A6700037017,29908.68
65473,20210301,201907,67000,臺南市,67000370,中西區,A6700037018,54405.1
65474,20210301,201907,67000,臺南市,67000370,中西區,A6700037019,22311.87
65475,20210301,201907,67000,臺南市,67000370,中西區,A6700037020,33727.42
65476,20210301,201907,67000,臺南市,67000370,中西區,A6700037021,26735.64
65477,20210301,201907,67000,臺南市,67000370,中西區,A6700037022,108563.03
65478,20210301,201907,67000,臺南市,67000370,中西區,A6700037023,18533.99
65479,20210301,201907,67000,臺南市,67000370,中西區,A6700037024,32399.38
65480,20210301,201907,67000,臺南市,67000370,中西區,A6700037025,24647.4
65481,20210301,201907,67000,臺南市,67000370,中西區,A6700037026,24186.04
65482,20210301,201907,67000,臺南市,67000370,中西區,A6700037027,18220.99
74274,20210301,201908,67000,臺南市,67000010,新營區,A6700001001,21284.82
74275,20210301,201908,67000,臺南市,67000010,新營區,A6700001002,18708.19
74276,20210301,201908,67000,臺南市,67000010,新營區,A6700001003,24377.26
74277,20210301,201908,67000,臺南市,67000010,新營區,A6700001004,16100.67
74278,20210301,201908,67000,臺南市,67000010,新營區,A6700001005,48072.62
74279,20210301,201908,67000,臺南市,67000010,新營區,A6700001006,22195.21
74280,20210301,201908,67000,臺南市,67000010,新營區,A6700001007,24686.68
74281,20210301,201908,67000,臺南市,67000010,新營區,A6700001008,24795.86
74282,20210301,201908,67000,臺南市,67000010,新營區,A6700001009,25724.12
74283,20210301,201908,67000,臺南市,67000010,新營區,A6700001010,18388.92
74284,20210301,201908,67000,臺南市,67000010,新營區,A6700001011,22173.14
74285,20210301,201908,67000,臺南市,67000010,新營區,A6700001012,31212.31
74286,20210301,201908,67000,臺南市,67000010,新營區,A6700001013,28097.66
74287,20210301,201908,67000,臺南市,67000010,新營區,A6700001014,24956.43
74288,20210301,201908,67000,臺南市,67000010,新營區,A6700001015,32068.53
74289,20210301,201908,67000,臺南市,67000010,新營區,A6700001016,34639.9
74290,20210301,201908,67000,臺南市,67000010,新營區,A6700001017,26479.54
74291,20210301,201908,67000,臺南市,67000010,新營區,A6700001018,22200.83
74292,20210301,201908,67000,臺南市,67000010,新營區,A6700001019,25500.38
74293,20210301,201908,67000,臺南市,67000010,新營區,A6700001020,23543.74
74294,20210301,201908,67000,臺南市,67000010,新營區,A6700001021,22194.33
74295,20210301,201908,67000,臺南市,67000010,新營區,A6700001022,16927.24
74296,20210301,201908,67000,臺南市,67000010,新營區,A6700001023,27403.09
74297,20210301,201908,67000,臺南市,67000010,新營區,A6700001024,117772.9
74298,20210301,201908,67000,臺南市,67000010,新營區,A6700001025,33203.82
74299,20210301,201908,67000,臺南市,67000010,新營區,A6700001026,
74300,20210301,201908,67000,臺南市,67000010,新營區,A6700001027,15104.52
74301,20210301,201908,67000,臺南市,67000010,新營區,A6700001028,16620.29
74302,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002001,
74303,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002002,30799.32
74304,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002003,16540.34
74305,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002004,24628.96
74306,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002005,26259.27
74307,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002006,17953.35
74308,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002007,17287.31
74309,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002008,
74310,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002009,47997.02
74311,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002010,21644.68
74312,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002011,16513.95
74313,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002012,
74314,20210301,201908,67000,臺南市,67000020,鹽水區,A6700002013,11776.11
74315,20210301,201908,67000,臺南市,67000030,白河區,A6700003001,23590.65
74316,20210301,201908,67000,臺南市,67000030,白河區,A6700003002,12177.78
74317,20210301,201908,67000,臺南市,67000030,白河區,A6700003003,15175.9
74318,20210301,201908,67000,臺南市,67000030,白河區,A6700003004,19005.26
74319,20210301,201908,67000,臺南市,67000030,白河區,A6700003005,22804.33
74320,20210301,201908,67000,臺南市,67000030,白河區,A6700003006,22974.58
74321,20210301,201908,67000,臺南市,67000030,白河區,A6700003007,25094.17
74322,20210301,201908,67000,臺南市,67000030,白河區,A6700003008,13282.0
74323,20210301,201908,67000,臺南市,67000030,白河區,A6700003009,23112.49
74324,20210301,201908,67000,臺南市,67000030,白河區,A6700003010,17849.22
74325,20210301,201908,67000,臺南市,67000030,白河區,A6700003011,31524.71
74326,20210301,201908,67000,臺南市,67000040,柳營區,A6700004001,14920.12
74327,20210301,201908,67000,臺南市,67000040,柳營區,A6700004002,
74328,20210301,201908,67000,臺南市,67000040,柳營區,A6700004003,12622.32
74329,20210301,201908,67000,臺南市,67000040,柳營區,A6700004004,43535.14
74330,20210301,201908,67000,臺南市,67000040,柳營區,A6700004005,37689.81
74331,20210301,201908,67000,臺南市,67000040,柳營區,A6700004006,89683.65
74332,20210301,201908,67000,臺南市,67000040,柳營區,A6700004007,29897.77
74333,20210301,201908,67000,臺南市,67000040,柳營區,A6700004008,47901.11
74334,20210301,201908,67000,臺南市,67000040,柳營區,A6700004009,14700.1
74335,20210301,201908,67000,臺南市,67000040,柳營區,A6700004010,22012.26
74336,20210301,201908,67000,臺南市,67000050,後壁區,A6700005001,15446.01
74337,20210301,201908,67000,臺南市,67000050,後壁區,A6700005002,21799.41
74338,20210301,201908,67000,臺南市,67000050,後壁區,A6700005003,14854.88
74339,20210301,201908,67000,臺南市,67000050,後壁區,A6700005004,101.51
74340,20210301,201908,67000,臺南市,67000050,後壁區,A6700005005,14943.89
74341,20210301,201908,67000,臺南市,67000050,後壁區,A6700005006,18650.78
74342,20210301,201908,67000,臺南市,67000050,後壁區,A6700005007,22999.89
74343,20210301,201908,67000,臺南市,67000050,後壁區,A6700005008,78159.43
74344,20210301,201908,67000,臺南市,67000050,後壁區,A6700005009,20903.12
74345,20210301,201908,67000,臺南市,67000050,後壁區,A6700005010,14961.38
74346,20210301,201908,67000,臺南市,67000050,後壁區,A6700005011,
74347,20210301,201908,67000,臺南市,67000060,東山區,A6700006001,16290.12
74348,20210301,201908,67000,臺南市,67000060,東山區,A6700006002,13654.69
74349,20210301,201908,67000,臺南市,67000060,東山區,A6700006003,16796.87
74350,20210301,201908,67000,臺南市,67000060,東山區,A6700006004,
74351,20210301,201908,67000,臺南市,67000060,東山區,A6700006005,15870.75
74352,20210301,201908,67000,臺南市,67000060,東山區,A6700006006,13782.69
74353,20210301,201908,67000,臺南市,67000060,東山區,A6700006007,20200.11
74354,20210301,201908,67000,臺南市,67000060,東山區,A6700006008,13238.32
74355,20210301,201908,67000,臺南市,67000060,東山區,A6700006009,12379.52
74356,20210301,201908,67000,臺南市,67000060,東山區,A6700006010,8048.04
74357,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007001,23368.37
74358,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007002,71117.23
74359,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007003,19651.48
74360,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007004,50797.06
74361,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007005,24008.32
74362,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007006,70546.87
74363,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007007,21014.89
74364,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007008,26086.67
74365,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007009,26759.09
74366,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007010,23971.04
74367,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007011,22656.94
74368,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007012,18207.84
74369,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007013,26716.26
74370,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007014,7198.99
74371,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007015,19974.28
74372,20210301,201908,67000,臺南市,67000070,麻豆區,A6700007016,11803.53
74373,20210301,201908,67000,臺南市,67000080,下營區,A6700008001,
74374,20210301,201908,67000,臺南市,67000080,下營區,A6700008002,14730.1
74375,20210301,201908,67000,臺南市,67000080,下營區,A6700008003,23713.33
74376,20210301,201908,67000,臺南市,67000080,下營區,A6700008004,20128.7
74377,20210301,201908,67000,臺南市,67000080,下營區,A6700008005,18091.5
74378,20210301,201908,67000,臺南市,67000080,下營區,A6700008006,19946.74
74379,20210301,201908,67000,臺南市,67000080,下營區,A6700008007,20128.63
74380,20210301,201908,67000,臺南市,67000080,下營區,A6700008008,19365.07
74381,20210301,201908,67000,臺南市,67000080,下營區,A6700008009,17019.21
74382,20210301,201908,67000,臺南市,67000080,下營區,A6700008010,13606.32
74383,20210301,201908,67000,臺南市,67000090,六甲區,A6700009001,53059.44
74384,20210301,201908,67000,臺南市,67000090,六甲區,A6700009002,19040.0
74385,20210301,201908,67000,臺南市,67000090,六甲區,A6700009003,17253.69
74386,20210301,201908,67000,臺南市,67000090,六甲區,A6700009004,12602.6
74387,20210301,201908,67000,臺南市,67000090,六甲區,A6700009005,12605.15
