Unnamed: 0,匯入時間,統計時間,裝設金融機構代號,裝設金融機構名稱,裝設地點,裝設縣市,裝設地址,lat,lng
2162,20211201,202110,8,華南商業銀行,台南市立安南醫院,台南市,台南市安南區長和路二段66號,23.0648363,120.222761
2163,20211201,202110,8,華南商業銀行,永昌台南,台南市,台南市安平區府前路二段612號,22.9933302,120.1844429
2164,20211201,202110,8,華南商業銀行,永康分行,台南市,台南市永康區中華路800號,23.017973,120.227601
2165,20211201,202110,8,華南商業銀行,永康分行,台南市,台南市永康區中華路800號,23.017973,120.227601
2166,20211201,202110,8,華南商業銀行,永裕塑膠,台南市,台南市仁德區勝利路88號,22.957579100000004,120.25772109999998
2167,20211201,202110,8,華南商業銀行,安南分行,台南市,台南市安南區安和路四段467-1號,23.0602673,120.2183861
2168,20211201,202110,8,華南商業銀行,西台南分行,台南市,台南市中西區康樂街156號,22.995159,120.1952185
2169,20211201,202110,8,華南商業銀行,東台南分行,台南市,台南市東區林森路二段90號,22.9876483,120.22339840000002
2170,20211201,202110,8,華南商業銀行,金沙電子,台南市,台南市中西區民生路二段130號,22.9957628,120.195856
2171,20211201,202110,8,華南商業銀行,金華路分行,台南市,台南市南區金華路二段172號,22.9797763,120.1914926
2172,20211201,202110,8,華南商業銀行,南泰實業,台南市,台南市永康區永康工業區環工路2號,23.0511039,120.274817
2173,20211201,202110,8,華南商業銀行,南都分行,台南市,台南市東區長榮路一段203號,22.984667,120.2179206
2174,20211201,202110,8,華南商業銀行,南寶高爾夫球場,台南市,台南市大內區頭社村136號,23.151701,120.3736572
2175,20211201,202110,8,華南商業銀行,麻豆分行,台南市,台南市麻豆區中山路36號,23.183854,120.2473842
2176,20211201,202110,8,華南商業銀行,新市分行,台南市,台南市新市區中正路232-1號,23.0760921,120.2918802
2177,20211201,202110,8,華南商業銀行,新營分行,台南市,台南市新營區新進路二段109號,23.3003908,120.3101763
2178,20211201,202110,8,華南商業銀行,德安百貨,台南市,台南市東區中華東路三段360號,22.9738271,120.2206839
2472,20211201,202110,9,彰化商業銀行,大亞電線電纜公司,台南市,台南市關廟區中山路249號,22.9590848,120.3305655
2473,20211201,202110,9,彰化商業銀行,大億交通工業製造(股)公司,台南市,台南市南區新信路9號,22.972872100000004,120.181135
2474,20211201,202110,9,彰化商業銀行,中華路分行,台南市,台南市永康區小東路473號,22.9988631,120.235032
2475,20211201,202110,9,彰化商業銀行,北台南分行,台南市,台南市北區西門路四段367號,23.0161919,120.2103651
2476,20211201,202110,9,彰化商業銀行,台南分行,台南市,台南市中西區中正路88號,22.9925195,120.2005174
2477,20211201,202110,9,彰化商業銀行,台南市肉品市場,台南市,台南市善化區東昌里東勢寮1之8號,23.158274,120.322662
2478,20211201,202110,9,彰化商業銀行,台南市肉品市場台南場,台南市,台南市善化區東昌里東勢寮1之8號,23.158274,120.322662
2479,20211201,202110,9,彰化商業銀行,台南科技大學,台南市,台南市永康區中正路529號,23.0394245,120.2390574
2480,20211201,202110,9,彰化商業銀行,永康分行,台南市,台南市永康區中正南路839號,23.0410801,120.236606
2481,20211201,202110,9,彰化商業銀行,好市多台南分公司,台南市,台南市北區和緯路四段8號,23.0100845,120.1936695
2482,20211201,202110,9,彰化商業銀行,安南分行,台南市,台南市安南區安和路四段330號,23.0577697,120.2187317
2483,20211201,202110,9,彰化商業銀行,西台南分行,台南市,台南市中西區民族路三段94號,22.9984497,120.19748020000002
2484,20211201,202110,9,彰化商業銀行,奇美電子公司,台南市,台南市新市區奇業路1號,23.0872716,120.2809277
2485,20211201,202110,9,彰化商業銀行,奇美電子公司LCM廠,台南市,台南市善化區南科八路12號,23.1154034,120.2762634
2486,20211201,202110,9,彰化商業銀行,奇美電子四廠,台南市,台南市新市區環西路一段3號,23.090159600000003,120.2774192
2487,20211201,202110,9,彰化商業銀行,延平分行,台南市,台南市中西區民權路二段151號,22.994863100000003,120.20320259999998
2488,20211201,202110,9,彰化商業銀行,東台南分行,台南市,台南市中西區北門路一段95-1號,22.9913749,120.2113844
2489,20211201,202110,9,彰化商業銀行,南一球場,台南市,台南市關廟區布袋村長榮街500號,22.911706,120.330074
2490,20211201,202110,9,彰化商業銀行,南台技術學院,台南市,台南市永康區南台街1號,23.022232100000004,120.222122
2491,20211201,202110,9,彰化商業銀行,南台南分行,台南市,台南市南區西門路一段655號,22.9861522,120.1974013
2492,20211201,202110,9,彰化商業銀行,敏惠醫護專科學校,台南市,台南市柳營區中山東路二段1116號,23.2793302,120.3307555
2493,20211201,202110,9,彰化商業銀行,堤維西工業公司,台南市,台南市安南區本田路二段377號,23.0362306,120.1478795
2494,20211201,202110,9,彰化商業銀行,新營分行,台南市,台南市新營區復興路150號,23.3032774,120.3080008
2495,20211201,202110,9,彰化商業銀行,歸仁分行,台南市,台南市歸仁區中山路二段218號,22.9675054,120.2887453
2862,20211201,202110,12,台北富邦商業銀行,北台南分行,台南市,台南市北區西門路四段374號,23.014353600000003,120.209909
2863,20211201,202110,12,台北富邦商業銀行,台南分行,台南市,台南市中西區民生路二段279號,22.9966797,120.1917647
2864,20211201,202110,12,台北富邦商業銀行,台達電台南廠,台南市,台南市善化區環東路2段39號,23.1208857,120.27558729999998
2865,20211201,202110,12,台北富邦商業銀行,永康分行,台南市,台南市永康區大灣路856號,22.9999295,120.25712450000002
2866,20211201,202110,12,台北富邦商業銀行,奇美材料,台南市,台南市善化區木柵港西路13號,23.106012,120.25817659999998
2867,20211201,202110,12,台北富邦商業銀行,東台南分行,台南市,台南市東區中華東路三段318號,22.9745829,120.2231632
2868,20211201,202110,12,台北富邦商業銀行,東寧分行,台南市,台南市東區東寧路186號,22.9910402,120.22407549999998
2869,20211201,202110,12,台北富邦商業銀行,高鐵車站ATM台南.右,台南市,台南市歸仁區歸仁大道100號,22.9249609,120.2855408
2870,20211201,202110,12,台北富邦商業銀行,高鐵車站ATM台南.左,台南市,台南市歸仁區歸仁大道100號,22.9249609,120.2855408
2871,20211201,202110,12,台北富邦商業銀行,啟碁科技南科廠,台南市,台南市安定區北園三路8號,23.123060100000004,120.2637837
2872,20211201,202110,12,台北富邦商業銀行,晶元光電S1,台南市,台南市新市區大順九路16號,23.1076379,120.287824
2873,20211201,202110,12,台北富邦商業銀行,晶元光電S3,台南市,台南市善化區南科八路11號,23.1141327,120.2761632
2874,20211201,202110,12,台北富邦商業銀行,新營分行,台南市,台南市新營區民治路301號,23.305252,120.303237
6407,20211201,202110,13,國泰世華商業銀行,COSTCO台南店,台南市,台南市北區大豐里和緯路4段8號,23.0100845,120.1936695
6408,20211201,202110,13,國泰世華商業銀行,中欣-生活廣場仁德店,台南市,台南市仁德區中山路777號,22.9729924,120.2457851
6409,20211201,202110,13,國泰世華商業銀行,台南分行,台南市,台南市中西區民生路一段62號,22.9933859,120.20321570000002
6410,20211201,202110,13,國泰世華商業銀行,永康分行,台南市,台南市永康區中華路423號,23.009783,120.232801
6411,20211201,202110,13,國泰世華商業銀行,全家超商-山上明和店,台南市,台南市山上區明和里明和196之1號,23.1147826,120.3406679
6412,20211201,202110,13,國泰世華商業銀行,全家超商-仁德二空店,台南市,台南市仁德區崇德路10號,22.9821473,120.2172996
6413,20211201,202110,13,國泰世華商業銀行,全家超商-仁德中二店,台南市,台南市仁德區文華ㄧ街89號,22.960882,120.243631
6414,20211201,202110,13,國泰世華商業銀行,全家超商-仁德太乙店,台南市,台南市仁德區土庫路54號,22.9887417,120.2611287
6415,20211201,202110,13,國泰世華商業銀行,全家超商-仁德德南店,台南市,台南市仁德區德南路22巷1號,22.9484571,120.25204840000002
6416,20211201,202110,13,國泰世華商業銀行,全家超商-台南三官店,台南市,台南市南區三官路9號,22.9809548,120.1938449
6417,20211201,202110,13,國泰世華商業銀行,全家超商-台南三喜店,台南市,台南市南區喜樹路220號,22.941337,120.17833
6418,20211201,202110,13,國泰世華商業銀行,全家超商-台南中平店,台南市,台南市東區中華東路一段88號,22.9954681,120.23408899999998
6419,20211201,202110,13,國泰世華商業銀行,全家超商-台南文安店,台南市,台南市安南區安和路一段73號,23.0274254,120.2147074
6420,20211201,202110,13,國泰世華商業銀行,全家超商-台南文成店,台南市,台南市北區海安路三段817號,23.01610010000001,120.2000599
6421,20211201,202110,13,國泰世華商業銀行,全家超商-台南水交社店,台南市,台南市南區興昌路2號,22.9767094,120.1997479
6422,20211201,202110,13,國泰世華商業銀行,全家超商-台南北州店,台南市,台南市安南區北安路四段210號,23.0595684,120.2140997
6423,20211201,202110,13,國泰世華商業銀行,全家超商-台南北園店,台南市,台南市北區北園街20號,23.010766,120.2231668
6424,20211201,202110,13,國泰世華商業銀行,全家超商-台南台江店,台南市,台南市安南區台江大道二段481號,23.0590003,120.2015364
6425,20211201,202110,13,國泰世華商業銀行,全家超商-台南永福店,台南市,台南市中西區永福路一段191號,22.9882435,120.2002591
6426,20211201,202110,13,國泰世華商業銀行,全家超商-台南好運店,台南市,台南市北區公園路291號,23.0026522,120.209465
6427,20211201,202110,13,國泰世華商業銀行,全家超商-台南安富店,台南市,台南市安南區安富街250號,23.026367,120.1951163
6428,20211201,202110,13,國泰世華商業銀行,全家超商-台南成大店,台南市,台南市東區大學路1號,22.997265,120.219981
6429,20211201,202110,13,國泰世華商業銀行,全家超商-台南車頭店,台南市,台南市東區北門路二段2號,22.99746510000001,120.2123654
6430,20211201,202110,13,國泰世華商業銀行,全家超商-台南和順店,台南市,台南市北區公園南路360號,23.0018662,120.2046706
6431,20211201,202110,13,國泰世華商業銀行,全家超商-台南府南店,台南市,台南市南區金華路一段484巷85號,22.971899,120.1928707
6432,20211201,202110,13,國泰世華商業銀行,全家超商-台南東文店,台南市,台南市東區東門路三段168號,22.9780954,120.2331069
6433,20211201,202110,13,國泰世華商業銀行,全家超商-台南虎尾寮店,台南市,台南市東區裕平路15號,22.9852457,120.2388886
6434,20211201,202110,13,國泰世華商業銀行,全家超商-台南長順店,台南市,台南市北區長北街112號,23.0022991,120.2047211
6435,20211201,202110,13,國泰世華商業銀行,全家超商-台南前站店,台南市,台南市中西區中山路207號,22.9966555,120.2109972
6436,20211201,202110,13,國泰世華商業銀行,全家超商-台南美美店,台南市,台南市中西區湖美街72號,23.0021949,120.18012079999998
6437,20211201,202110,13,國泰世華商業銀行,全家超商-台南美環店,台南市,台南市中西區府前路二段277號,22.9920276,120.1896946
6438,20211201,202110,13,國泰世華商業銀行,全家超商-台南神鷹店,台南市,台南市南區機場路905號,22.9487965,120.2167703
6439,20211201,202110,13,國泰世華商業銀行,全家超商-台南國安店,台南市,台南市安南區國安街56巷75號,23.0245617,120.1896767
6440,20211201,202110,13,國泰世華商業銀行,全家超商-台南崇德店,台南市,台南市東區崇德路737號,22.968121,120.2276149
6441,20211201,202110,13,國泰世華商業銀行,全家超商-台南常榮店,台南市,台南市東區長榮路三段39號,22.9936852,120.2215283
6442,20211201,202110,13,國泰世華商業銀行,全家超商-台南康平店,台南市,台南市安平區健康三街22號,22.98554630000001,120.1680816
6443,20211201,202110,13,國泰世華商業銀行,全家超商-台南頂安店,台南市,台南市安南區培安路151號,23.0442385,120.2115045
6444,20211201,202110,13,國泰世華商業銀行,全家超商-台南尊南店,台南市,台南市南區健康路二段275號,22.981565300000003,120.1898168
6445,20211201,202110,13,國泰世華商業銀行,全家超商-台南新安田店,台南市,台南市安南區海佃路一段347號,23.027254100000004,120.1906763
6446,20211201,202110,13,國泰世華商業銀行,全家超商-台南新和店,台南市,台南市南區新建路47號,22.9669847,120.1854302
6447,20211201,202110,13,國泰世華商業銀行,全家超商-台南裕義店,台南市,台南市東區裕義路576號,22.9795219,120.2478166
6448,20211201,202110,13,國泰世華商業銀行,全家超商-台南裕聖店,台南市,台南市東區裕信路383號,22.9779756,120.2451387
6449,20211201,202110,13,國泰世華商業銀行,全家超商-台南榮玉店,台南市,台南市東區榮譽街61號,22.9745837,120.2167646
6450,20211201,202110,13,國泰世華商業銀行,全家超商-永康正南一店,台南市,台南市永康區正南一街103號,23.024590300000003,120.2290124
6451,20211201,202110,13,國泰世華商業銀行,全家超商-永康永仁店,台南市,台南市永康區大仁街39號,23.0014545,120.25653390000002
6452,20211201,202110,13,國泰世華商業銀行,全家超商-永康永德店,台南市,台南市永康區永大路三段417號,23.0369418,120.2589381
6453,20211201,202110,13,國泰世華商業銀行,全家超商-永康自強店,台南市,台南市永康區自強路728號,23.0360349,120.2622443
6454,20211201,202110,13,國泰世華商業銀行,全家超商-永康兵仔市店,台南市,台南市永康區中華一路61號,23.004416,120.23758490000002
6455,20211201,202110,13,國泰世華商業銀行,全家超商-永康車行店,台南市,台南市永康區王行路563號,23.0441479,120.2740687
6456,20211201,202110,13,國泰世華商業銀行,全家超商-永康東強店,台南市,台南市永康區東橋一路246號,23.0191333,120.2335503
6457,20211201,202110,13,國泰世華商業銀行,全家超商-永康勝華店,台南市,台南市永康區中華二路395號,23.0082563,120.231131
6458,20211201,202110,13,國泰世華商業銀行,全家超商-永康新民店,台南市,台南市永康區新民街73號,23.040520800000003,120.2416686
6459,20211201,202110,13,國泰世華商業銀行,全家超商-永康新永安店,台南市,台南市永康區永安路117號,23.04451700000001,120.2453146
6460,20211201,202110,13,國泰世華商業銀行,全家超商-永康學府店,台南市,台南市永康區中正路581號,23.0401282,120.2382166
