匯入時間,統計時間,縣市,停車場名稱,停車場地址,汽車停車位數,機車停車位數,lat,lng
20211201,202110,台南,臺南環河街停車場(竑穗興業股份有限公司營運),臺南市中西區環河街62號(中西區康樂段541-1、543等11筆地號),30,0,22.993177,120.192101
20211201,202110,台南,臺南客家文化會館停車場(竑穗興業股份有限公司經營),臺南市南區夏林路4號旁基地(南區正義段190地號),31,0,22.985834,120.194661
20211201,202110,台南,民生路停車場(日月亭股份有限公司營運),臺南市中西區民生路二段400巷西側(原警察局拖吊場),106,46,22.99772,120.188265
20211201,202110,台南,東橋八街停車場(日月亭股份有限公司經營),臺南市永康區東橋八街與東橋三街口,85,0,23.020744,120.233519
20211201,202110,台南,體育之心路外停車場,臺南市南區南門路市立體育場西側,108,250,22.97837,120.204934
20211201,202110,台南,新化廣停二地下停車場,臺南市新化區臺南市新化區中正路498號,52,0,23.038374,120.307532
20211201,202110,台南,北園公兒23路外停車場,臺南市北區北園街114巷,97,312,23.013079,120.224648
20211201,202110,台南,大興公園停車場,臺南市北區大興街(好市多正後方),150,0,23.0117569,120.1928463
20211201,202110,台南,大豐公園停車場,臺南市北區和緯路與武聖路交叉口,18,0,23.0074151,120.1874729
20211201,202110,台南,停2路外停車場(南側),臺南市安平區建平16街近中華西路南側,66,0,22.996565,120.185636
20211201,202110,台南,育平九街停車場,臺南市安平區育平九街與國平路交叉口,72,134,22.995272,120.171261
20211201,202110,台南,龍山里臨時停車場(第一區),臺南市東區東門路二段158巷,23,0,22.984126,120.220115
20211201,202110,台南,龍山里臨時停車場(第二區),臺南市東區府東街21巷,45,49,22.984633,120.219869
20211201,202110,台南,德光里活動中心停車場,臺南市東區東區崇德路德光里活動中心旁附設停車場,27,24,22.979957,120.219151
20211201,202110,台南,竹溪街停車場,臺南市南區竹溪街及健康路一段33巷交叉口,21,0,22.979499,120.210108
20211201,202110,台南,成德停四路外停車場,臺南市北區育德二路與立賢路一段650巷交叉口,88,0,23.008711,120.202871
20211201,202110,台南,賢北街停車場,臺南市北區賢北街與大興街交叉口,70,10,23.008936,120.182962
20211201,202110,台南,西門路育賢停車場(俥亭停車事業股份有限公司經營),臺南市北區西門路4段341巷內,26,0,23.015601,120.208744
20211201,202110,台南,大學路(社E2)停車場(台灣國際開發事業有限公司營運),臺南市東區大學路西段53號西側(東區育樂段302、302-1、302-2地號等3筆土地),150,100,22.996306,120.216256
20211201,202110,台南,關聖里停車場(竑穗興業股份有限公司營運),臺南市東區臺南市東區裕平路39號旁,62,0,22.98518,120.240656
20211201,202110,台南,民族路停車場(中興電工嘟嘟房營運),臺南市東區民族路一段與前鋒路口,25,52,22.994362,120.213503
20211201,202110,台南,大學路(社E1)停車場(中興電工嘟嘟房營運),臺南市東區育樂街66巷及大學路交叉口,52,0,22.996367,120.215784
20211201,202110,台南,永福路停車場(中興電工嘟嘟房營運),臺南市中西區府前路及永福路交叉口,24,0,22.989716,120.200256
20211201,202110,台南,停2路外停車場(北側),臺南市安平區臺南市安平區建平16街近中華西路(北側),92,0,22.996775,120.18568
20211201,202110,台南,崇明路E6停車場,臺南市東區臺南市東區崇明路崇明國中南側,106,0,22.968862,120.225587
20211201,202110,台南,和平公園停車場,臺南市東區臺南市東區文化路100號和平公園旁,79,0,22.976971,120.232186
20211201,202110,台南,德光公園停車場,臺南市東區臺南市東區崇德一街德光公園旁,17,0,22.980255,120.219674
20211201,202110,台南,崇明五街公兒E37停車場,臺南市東區臺南市東區崇明路與崇明五街口西南側,25,0,22.979849,120.217016
20211201,202110,台南,泉南里停車場(委由日月亭股份有限公司營運),臺南市東區臺南市東區長榮路一段15巷內,14,0,22.983101,120.216025
20211201,202110,台南,臺南市東區裕文圖書館停車場(竑穗興業股份有限公司營運),臺南市東區臺南市東區裕文圖書館東側,17,30,22.982001,120.245805
20211201,202110,台南,臺南市東區立德臨時停車場(竑穗興業股份有限公司營運),臺南市東區臺南市東區立德八路南側,113,110,22.976673,120.21488
20211201,202110,台南,平實公園地下停車場,臺南市東區東區平實路101號,203,0,22.992919,120.23638
20211201,202110,台南,善化區臺鐵南科車站東側停車場(機車),臺南市善化區臺南市善化區西拉雅大道與南科火車站善新西路交叉口,0,228,23.107712,120.302394
20211201,202110,台南,善化區臺鐵南科車站西側停車場(機車),臺南市善化區臺南市善化區西拉雅大道與南科火車站交叉路口,0,278,23.107316,120.303056
20211201,202110,台南,善化區臺鐵南科東站東側停車場(汽車),臺南市善化區臺南市善化區西拉雅大道與南科火車站善新西路交叉口,58,0,23.107966,120.302103
20211201,202110,台南,善化區臺鐵南科車站西側停車場(汽車),臺南市善化區臺南市善化區西拉雅大道與南科火車站交叉路口,21,0,23.107982,120.302714
20211201,202110,台南,新市區富中街停車場,臺南市新市區臺南市新市區富中街與民生路交叉路口,122,0,23.079851,120.288075
20211201,202110,台南,新市區富安三街停車場,臺南市新市區臺南市新市區富安三街與富安路交叉路口,166,0,23.081723,120.288867
20211201,202110,台南,新市區明大停車場,臺南市新市區臺南市新市區信義街與綠園一街交叉路口,27,0,23.073274,120.289969
20211201,202110,台南,億載停車場,臺南市安平區永華路2段與光州路路口西南側,86,102,22.991168,120.159479
20211201,202110,台南,水景停車場,臺南市安平區安北路水景公園旁,125,0,22.999175,120.157886
20211201,202110,台南,港濱停車場(第一區),臺南市安平區安億路與平豐路路口西北側,36,0,22.994969,120.163416
20211201,202110,台南,港濱停車場(第二區),臺南市安平區台南市安平區安億路與平豐路交叉口,20,0,22.995055,120.163672
20211201,202110,台南,林默娘停車場,臺南市安平區安億路林默娘公園旁,171,212,22.9928133,120.15703
20211201,202110,台南,LM陽光電城停車場,臺南市新市區臺南市新市區龍目井路北側,95,70,23.109646,120.306574
20211201,202110,台南,復興路公有路外停車場,臺南市永康區臺南市政府消防局第五救災救護大隊復興分隊西側,17,0,22.998754,120.244332
20211201,202110,台南,復華一街公有路外停車場,臺南市永康區復華一街與復華一街19巷交叉口,49,0,23.005287,120.245211
20211201,202110,台南,海安路地下停車場(璨驛股份有限公司經營),臺南市中西區海安路一段188號B1,841,0,22.991037,120.195617
20211201,202110,台南,大宏社區公園停車場(竑穗興業股份有限公司經營),臺南市新營區三民段一地號,24,0,23.307886,120.317136
20211201,202110,台南,永康中華立體停車場,臺南市永康區華興街77號,274,0,23.000707,120.237698
20211201,202110,台南,永康區復國里停(七)停車場,臺南市永康區復國一路150巷26號旁,43,0,23.005257,120.247223
20211201,202110,台南,仁德立體停車場(傳忠有限公司),臺南市仁德區臺南市仁德區正義一街41號,201,72,22.972604,120.253466
20211201,202110,台南,新市國小地下停車場,臺南市新市區中興路1號B1,152,0,23.078299,120.2953306
