Unnamed: 0,匯入時間,統計時間,工廠名稱,地址,中行業別,細行業別,耗用原料,主要產品,lat,lng
55312,20211201,202110,利泰實業廠,臺南市安南區新順里政安路２１號,塑膠製品業,其他塑膠製品製造業,,塑膠餐具,23.041982703364894,120.216842589703
55313,20211201,202110,盈成機械工業有限公司,臺南市安南區頂安里長溪路一段４７６巷２５號,機械設備業,橡膠及塑膠加工用機械設備製造業,,塑膠射出成型機,23.041291513294706,120.205430989636
55314,20211201,202110,百豐真空工業有限公司,臺南市安南區安東里安和路二段１５０巷５３號,金屬製品業,金屬表面處理業,,真空鍍金,23.039983229956498,120.216763894619
55315,20211201,202110,坤弘工業股份有限公司,臺南市安南區新順里安生街７７、７９、８１、８３、８３之１號,金屬製品業,未分類其他金屬製品製造業,不銹鋼材,不銹鋼餐具（鍋子、杯子等）,23.045220626170696,120.215148693724
55316,20211201,202110,允升實業社,臺南市安南區頂安里安中路一段２２０巷５５弄２號１樓,金屬製品業,螺絲、螺帽及鉚釘製造業,,五金螺絲加工,23.0377955810877,120.20663140534
55317,20211201,202110,亞田金屬有限公司,臺南市安南區新順里政安路２３號,金屬製品業,其他金屬加工處理業,,不銹鋼板加工,23.0418552101649,120.217100334133
55318,20211201,202110,宗和精密工業社,臺南市安南區頂安里頂安街５２６巷９弄１號,金屬製品業,未分類其他金屬製品製造業,,家用五金,23.0437429163414,120.205791880934
55319,20211201,202110,寶島塑膠廠,臺南市安南區新順里安和路三段１９號,塑膠製品業,其他塑膠製品製造業,,塑膠製品,23.0439200434367,120.216464313606
55320,20211201,202110,精穎電機企業股份有限公司,臺南市安南區安慶里長溪路一段１５９巷２１弄２８號,電腦電子及光學品業,量測、導航及控制設備製造業,,電流表、電壓表、溫濕度計,23.0358632471,120.209538652096
55321,20211201,202110,特裕精密企業股份有限公司,臺南市安南區新順里政安路２５號,金屬製品業,未分類其他金屬製品製造業,,機械零件,23.041826356737104,120.217273205122
55322,20211201,202110,瑋鑫紙器有限公司,臺南市安南區新順里安和路二段３１８巷６號,紙漿、紙及紙製品業,瓦楞紙板及紙容器製造業,,紙箱,23.04316986562129,120.217019945918
55323,20211201,202110,富貴族電機有限公司,臺南市安南區安東里安和路二段２巷２５號,汽車及零件業,汽車零件製造業,,汽車零件（喇叭）,23.036348665266104,120.214625213896
55324,20211201,202110,源友企業社,臺南市安南區新順里安和路二段３１８巷１６號１樓,機械設備業,其他通用機械設備製造業,,機械零件,23.043233011462107,120.217244001185
55325,20211201,202110,歸億企業有限公司,臺南市安南區頂安里頂安街５２６巷９弄２８號,金屬製品業,金屬模具製造業,,模具,23.043594403840604,120.20524106775
55326,20211201,202110,地玖精工業有限公司,臺南市安南區新順里政安路４２巷１３號,電力設備業,其他電力設備及配備製造業,,端子,23.0408984264181,120.217602311611
55327,20211201,202110,成旺有限公司,臺南市安南區新順里政安路５６號,金屬製品業,其他金屬加工處理業,,金屬加工處理，其他金屬製品,23.0413770166954,120.217656042167
55328,20211201,202110,世國企業股份有限公司,臺南市安南區安東里安和路二段５４巷７１號,其他製造業,體育用品製造業,,運動器材、園藝用具,23.037435590174304,120.216185202277
55329,20211201,202110,世國企業股份有限公司分廠,臺南市安南區安東里安和路二段５４巷７２號,其他製造業,體育用品製造業,,運動器材，園藝用具（健康器材），玩具（電,23.037435590174304,120.216185202277
55330,20211201,202110,班德科技有限公司台南安南廠,臺南市安南區新順里政安路２９號,機械設備業,未分類其他專用機械設備製造業,,其他專用機械設備,23.0417255627664,120.217689350692
55331,20211201,202110,家溢五金企業股份有限公司,臺南市安南區新順里政安路２８號,金屬製品業,未分類其他金屬製品製造業,,壓力錶,23.0417255627664,120.217689350692
55332,20211201,202110,天乙實業廠,臺南市安南區新順里安和路二段３１８巷３８弄２８號,塑膠製品業,其他塑膠製品製造業,,塑膠製品,23.0424484487809,120.217585163217
55333,20211201,202110,復興電機廠,臺南市安南區安慶里安中路一段１６６號,機械設備業,其他通用機械設備製造業,,通風扇,23.0359567097967,120.208058380736
