Unnamed: 0,匯入時間,統計時間,縣市,站點UID,業管機關代碼,站點名稱,lat,lng
87288,20211201,202110,台南市,TNN10142,8,大道公廟,22.99811,120.20611
87289,20211201,202110,台南市,TNN10143,8,臺南火車站(南站),22.99706,120.21121
87290,20211201,202110,台南市,TNN10144,8,公園南路,23.00074,120.21017
87291,20211201,202110,台南市,TNN10145,8,臺南轉運站,23.00187,120.20928
87292,20211201,202110,台南市,TNN10146,8,寮內,23.00642,120.21023
87293,20211201,202110,台南市,TNN10147,8,延平國中,23.01028,120.21077
87294,20211201,202110,台南市,TNN10148,8,延平市場(長榮路),23.01329,120.21271000000002
87295,20211201,202110,台南市,TNN10149,8,正風里,23.015220000000006,120.21358
87296,20211201,202110,台南市,TNN10150,8,正覺里,23.01784,120.21569
87297,20211201,202110,台南市,TNN10151,8,六甲頂,23.01999,120.21621
87298,20211201,202110,台南市,TNN10152,8,溪頂寮橋,23.02674,120.21515
87299,20211201,202110,台南市,TNN10153,8,南安順,23.02831,120.21454
87300,20211201,202110,台南市,TNN10154,8,安順派出所,23.03047,120.21318
87301,20211201,202110,台南市,TNN10155,8,安順市場,23.03275,120.21238999999998
87302,20211201,202110,台南市,TNN10156,8,安順,23.03394,120.21274
87303,20211201,202110,台南市,TNN10157,8,北安順,23.03851,120.21466
87304,20211201,202110,台南市,TNN10158,8,七號橋,23.04066,120.21561
87305,20211201,202110,台南市,TNN10159,8,新和順,23.04438,120.21719
87306,20211201,202110,台南市,TNN10160,8,政安路口,23.04273,120.21643
87307,20211201,202110,台南市,TNN10161,8,安順國小,23.04793,120.21838
87308,20211201,202110,台南市,TNN10162,8,安順國中,23.048820000000006,120.21862
87309,20211201,202110,台南市,TNN10163,8,舊和順北,23.05329,120.21876
87310,20211201,202110,台南市,TNN10164,8,大聖廟,23.05661,120.21862
87311,20211201,202110,台南市,TNN10165,8,中洲寮,23.05837,120.21873
87312,20211201,202110,台南市,TNN10166,8,福國寺,23.06101,120.21878999999998
87313,20211201,202110,台南市,TNN10167,8,和順,23.06229,120.21871000000002
87314,20211201,202110,台南市,TNN10168,8,安和路五段,23.06504,120.21851
87315,20211201,202110,台南市,TNN10169,8,和順國小,23.06647,120.21775
87316,20211201,202110,台南市,TNN10170,8,北和順,23.06866,120.21652
87317,20211201,202110,台南市,TNN10171,8,嘉綠寶社區,23.06972,120.21763
87318,20211201,202110,台南市,TNN10172,8,安昌街口,23.06962,120.21932
87319,20211201,202110,台南市,TNN10177,8,嘉綠寶社區,23.06981,120.21746
87320,20211201,202110,台南市,TNN10178,8,北和順,23.06863,120.21649
87321,20211201,202110,台南市,TNN10179,8,和順國小,23.06671,120.21751
87322,20211201,202110,台南市,TNN10180,8,安和路五段,23.06505,120.21847
87323,20211201,202110,台南市,TNN10181,8,和順,23.06373,120.21871000000002
87324,20211201,202110,台南市,TNN10182,8,福國寺,23.06138,120.21872
87325,20211201,202110,台南市,TNN10183,8,中洲寮,23.05825,120.21861
87326,20211201,202110,台南市,TNN10184,8,大聖廟,23.05665,120.21855
87327,20211201,202110,台南市,TNN10185,8,舊和順北,23.05269,120.21877
87328,20211201,202110,台南市,TNN10186,8,安順國中,23.04977,120.21878999999998
87329,20211201,202110,台南市,TNN10187,8,安順國小,23.04808,120.21836
87330,20211201,202110,台南市,TNN10188,8,政安路口,23.04252,120.21626
87331,20211201,202110,台南市,TNN10189,8,新和順,23.04425,120.21696
87332,20211201,202110,台南市,TNN10190,8,七號橋,23.04063,120.21541
