Unnamed: 0,匯入時間,統計時間,縣市ID,縣市名稱,鄉鎮市區ID,鄉鎮市區名稱,CODE3,用電戶數,用電度數,電費總額
8204,20210301,201901,67000,臺南市,67000120,佳里區,A6700012005,3856.0,533200.0,1101400.0
8205,20210301,201901,67000,臺南市,67000120,佳里區,A6700012006,1643.0,481900.0,1101400.0
8206,20210301,201901,67000,臺南市,67000120,佳里區,A6700012007,2241.0,620800.0,1104100.0
8207,20210301,201901,67000,臺南市,67000120,佳里區,A6700012008,1845.0,587100.0,1473100.0
8208,20210301,201901,67000,臺南市,67000120,佳里區,A6700012009,3075.0,456900.0,974000.0
8209,20210301,201901,67000,臺南市,67000120,佳里區,A6700012010,1605.0,387100.0,821700.0
8210,20210301,201901,67000,臺南市,67000120,佳里區,A6700012011,1486.0,668000.0,1714800.0
8211,20210301,201901,67000,臺南市,67000120,佳里區,A6700012012,2354.0,889500.0,2402300.0
8212,20210301,201901,67000,臺南市,67000120,佳里區,A6700012013,3279.0,620700.0,1562300.0
8213,20210301,201901,67000,臺南市,67000120,佳里區,A6700012014,1943.0,682800.0,1408600.0000000002
8214,20210301,201901,67000,臺南市,67000120,佳里區,A6700012015,1741.0,578300.0,1017400.0
8215,20210301,201901,67000,臺南市,67000120,佳里區,A6700012016,1843.0,606800.0,1107000.0
8216,20210301,201901,67000,臺南市,67000120,佳里區,A6700012017,2021.0,653400.0,1068800.0
8217,20210301,201901,67000,臺南市,67000120,佳里區,A6700012018,2030.0,606000.0,1183200.0
8218,20210301,201901,67000,臺南市,67000120,佳里區,A6700012019,1611.0,515700.0,929400.0
8219,20210301,201901,67000,臺南市,67000120,佳里區,A6700012020,4426.0,582200.0,789599.9999999999
8220,20210301,201901,67000,臺南市,67000130,學甲區,A6700013001,7.0,400.0,1000.0
8221,20210301,201901,67000,臺南市,67000130,學甲區,A6700013002,1528.0,271900.0,617100.0
8222,20210301,201901,67000,臺南市,67000130,學甲區,A6700013003,77.0,18900.0,45800.0
8223,20210301,201901,67000,臺南市,67000130,學甲區,A6700013004,833.0,188900.0,345400.0
8224,20210301,201901,67000,臺南市,67000130,學甲區,A6700013005,2285.0,513000.0,1180100.0
8225,20210301,201901,67000,臺南市,67000130,學甲區,A6700013006,1793.0,489600.0,872600.0
8226,20210301,201901,67000,臺南市,67000130,學甲區,A6700013007,3381.0,447900.0,841500.0
8227,20210301,201901,67000,臺南市,67000130,學甲區,A6700013008,2224.0,686700.0,1405200.0
8228,20210301,201901,67000,臺南市,67000130,學甲區,A6700013009,2401.0,552300.0,749599.9999999999
8229,20210301,201901,67000,臺南市,67000130,學甲區,A6700013010,1254.0,460300.0,1099600.0
8230,20210301,201901,67000,臺南市,67000130,學甲區,A6700013011,1594.0,493000.0,720800.0
8231,20210301,201901,67000,臺南市,67000130,學甲區,A6700013012,1644.0,394400.0,733400.0
8232,20210301,201901,67000,臺南市,67000140,西港區,A6700014001,4798.0,726800.0000000001,1529100.0
8233,20210301,201901,67000,臺南市,67000140,西港區,A6700014002,3680.0,465600.0,875200.0
8234,20210301,201901,67000,臺南市,67000140,西港區,A6700014003,3246.0,519200.0,1153300.0
8235,20210301,201901,67000,臺南市,67000140,西港區,A6700014004,2824.0,434700.0,751800.0000000001
8236,20210301,201901,67000,臺南市,67000140,西港區,A6700014005,1531.0,601300.0,1077600.0
8237,20210301,201901,67000,臺南市,67000140,西港區,A6700014006,2819.0,455400.0,657800.0
8238,20210301,201901,67000,臺南市,67000140,西港區,A6700014007,1966.0,702400.0,1310000.0
8239,20210301,201901,67000,臺南市,67000140,西港區,A6700014008,1358.0,368300.0,621800.0
